Rom	Game Title (Optimized)	Recommended Emulator	Pi 3B+ (OC 1700)	FPS	Visuals	Audio	Controls	Notes
005	005	lr-mame	o	o	o	o	o	
10yard	10-Yard Fight	lr-fbneo	o	o	o	o	o	Clone: (vs10yard)
1941	1941	lr-fbneo	o	o	o	o	o	
1942	1942	lr-fbneo	o	o	o	o	o	
1943	1943	lr-fbneo	o	o	o	o	o	
1943kai	1943 Kai	lr-fbneo	o	o	o	o	o	
1944	1944	lr-fbneo	o	o	o	o	o	
1945kiii	1945K III	lr-fbneo	o	o	o	o	o	
19xx	19XX	lr-fbneo	o	o	o	o	o	
1on1gov	1 on 1 Government	lr-mame2016	!	-	o	o	o	Set CPU to ~55fps on Pi4B for 60fps
2020bb	2020 Super Baseball	lr-fbneo	o	o	o	o	o	NEO-GEO
20pacgal	Ms. Pac-Man/Galaga 20th Anniversary Class of 1981 Reunion	lr-fbneo	o	o	o	o	o	Needed to set dipswitch options
25pacmano	Pac-Man 25th Anniversary Edition	lr-fbneo	o	o	o	o	o	Needed to merge roms into the "o" build, or be stuck with a broken build in the main game list. Then set dipswitch options
280zzzap	Datsun 280-ZZZap	lr-mame	o	o	o	o	o	
3countb	3 Count Bout	lr-fbneo	o	o	o	o	o	NEO-GEO
3in1semi	XESS	lr-fbneo	o	o	o	o	o	
3kokushi	[Adult] Sankokushi	lr-fbneo	o	o	o	o	o	
3on3dunk	3 on 3 Dunk Madness	lr-fbneo	o	o	o	o	o	Prototype?
3stooges	Three Stooges, The	lr-mame	o	o	o	o	o	
3wonders	Three Wonders	lr-fbneo	o	o	o	o	o	Clone (wonder3)
3x3puzzl	[Adult] 3x3 Puzzle (Enterprise)	lr-fbneo	o	o	o	o	o	
3x3puzzla	3x3 Puzzle (Normal)	lr-fbneo	o	o	o	o	o	Tame
40love	Forty-Love	lr-mame2016	o	o	o	o	o	
47pie2	[Adult] Idol Janshi Suchie-Pai II	lr-mame2016	o	o	o	o	kb	
4dwarrio	4-D Warriors	lr-fbneo	o	o	o	o	o	
4enraya	4 En Raya	lr-fbneo	o	o	o	o	o	
4in1	4 Fun in 1	lr-fbneo	o	o	o	o	o	
4in1boot	Puzzle King	lr-fbneo	o	o	o	o	o	
64street	64th Street	lr-fbneo	o	o	o	o	o	
720	720 Degrees	lr-mame	o	o	o	o	o	Using lr-mame for optimal control settings
7ordi	7ordi	lr-fbneo	o	o	o	o	o	
88games	'88 Games	lr-fbneo	o	o	o	o	o	Clone: (konami88)
8ball	Video 8 Ball	lr-mame	o	o	o	o	o	
8ballact	Eight Ball Action	lr-mame	o	o	o	o	o	
99lstwar	'99 The Last War	lr-fbneo	o	o	o	o	o	
9ballsht	9-Ball Shootout	lr-mame	o	o	o	o	o	Long,seizure-inducing initialization.
aafb	All American Football	lr-mame	o	o	o	o	o	
abaseb	Atari Baseball	lr-mame	o	o	o	o	o	
abcop	A.B. Cop	lr-fbneo	o	o	o	o	o	
abscam	Pac-Man (Bootleg: Abscam)	lr-fbneo	o	o	o	o	o	
aburner	After Burner	lr-fbneo	o	o	o	o	o	
aburner2	After Burner II	lr-fbneo	o	o	o	o	o	
ace	Ace	lr-mame	o	o	-	o	o	Some invisible collision bottom/mid
aceattac	Ace Attacker	lr-fbneo	o	o	o	o	tb	
acitya	Atlantic City Action	lr-fbneo	o	o	o	o	o	Required "bwcasino.zip"
acrobatm	Acrobat Mission	lr-fbneo	o	o	o	o	o	
actfancr	Act-Fancer	lr-fbneo	o	o	o	o	o	
actionhw	Action Hollywood	lr-fbneo	o	o	o	o	o	
ad2083	A.D. 2083	lr-fbneo	o	o	o	o	o	
aerofgt	Aero Fighters	lr-fbneo	o	o	o	o	o	Video System Co., Ltd. (AKA Sonic Wings series)
aerofgts	Aero Fighters Special	lr-mame2016		o	o	o	o	Parent of (sncwgltd)
afighter	Action Fighter	lr-fbneo	o	o	o	o	o	
agallet	Air Gallet	lr-fbneo	o	o	o	o	o	
agress	Agress	lr-fbneo	o	o	o	o	o	
ainferno	Air Inferno	lr-mame2016	!	!	o	?	!	Unplayable. 10fps 3B+; 40fps 4B. Controls not responding
airass	Air Assault	lr-fbneo	o	o	o	o	o	Clone: Fire Barrel (firebarr)
airattck	Air Attack	lr-fbneo	o	o	o	o	o	
airbustr	Air Buster	lr-fbneo	o	o	o	o	o	
aircomb	Air Combat	lr-mame	!	!	x	?	?	Framerate makes this unplayable on 3B+. Hardly playable on 4B
airduel	Air Duel	lr-fbneo	o	o	o	o	o	
airwolf	Airwolf	lr-fbneo	o	o	o	o	o	Clone: (skywolf)
ajax	Ajax	lr-fbneo	o	o	o	o	o	Clone: Typhoon (typhoon)
akatana	Akai Katana	lr-mame2016	?	-	o	o	o	Cave Shooter. MAME 2016 for best performance. Set CPU 36%
akiss	[Adult] Mahjong Angel Kiss	lr-mame	o	o	o	o	kb	
akkaarrh	[Proto] Akka Arrh	lr-fbneo	o	o	o	o	o	
akkanvdr	Akkanbeder	lr-fbneo	o	o	o	o	o	
alcon	Alcon	lr-fbneo	o	o	o	o	o	Clone: Slapfight (slapfigh)
alexkidd	Alex Kidd: The Lost Stars	lr-fbneo	o	o	o	o	o	
alibaba	Ali Baba and 40 Thieves	lr-fbneo	o	o	o	o	o	Clone: (alibabab). No typo in title
alien3	Alien 3: The Gun	lr-mame	o	o	o	o	lg	Works best w/light gun or mouse
alienar	Alien Arena	lr-fbneo	o	o	o	o	o	
aliencha	Alien Challenge	lr-fbneo	o	o	o	o	o	
alienres	[Homebrew] Alien Rescue	lr-fbneo	o	o	o	-	o	No audio (maybe by design)
aliens	Aliens	lr-fbneo	o	o	o	o	o	
aliensec	Alien Sector	lr-fbneo	o	o	o	o	o	Clone Baraduke (baraduke)
aliensyn	Alien Syndrome	lr-fbneo	o	o	o	o	o	
aligatorun	Alligator Hunt	lr-fbneo	o	o	o	o	lg	Works best w/light gun or mouse
alinvade	Alien Invaders	lr-fbneo	o	o	o	o	o	
alleymas	Alley Master	lr-mame	o	o	o	o	o	
alphaho	Alpha Fighter/ Head On	lr-mame	o	o	x	o	o	Colors are completely wrong
alpham2	Alpha Mission II	lr-fbneo	o	o	o	o	o	NEO-GEO
alphamis	Alpha Mission	lr-fbneo	o	o	o	o	o	Parent: (aso)
alpine	Alpine Ski	lr-fbneo	o	o	o	o	o	
altair	Altair	lr-mame	o	o	o	o	o	
altbeast	Altered Beast	lr-fbneo	o	o	o	o	o	
amazon	Soldier Girl Amazon	lr-fbneo	o	o	o	o	o	Clone: Sei Senshi Amatelass (amatelas)
ambush	Ambush	lr-fbneo	o	o	o	o	o	
amerdart	Ameridarts	lr-mame	o	o	o	o	o	
amidar	Amidar	lr-fbneo	o	o	o	o	o	
amspdwy	American Speedway	lr-fbneo	o	o	o	o	o	
androdun	Andro Dunos	lr-fbneo	o	o	o	o	o	NEO-GEO
androidp	Android	lr-fbneo	o	o	o	o	o	
angelkds	Angel Kids	lr-fbneo	o	o	o	o	o	good with standard 2003. plus wouldn't support controls
animaljr	[Ticket] Exciting Animal Land Jr.	lr-mame	o	o	o	o	o	
anteater	Anteater	lr-fbneo	o	o	o	o	o	
aodk	Aggressors of Dark Kombat	lr-fbneo	o	o	o	o	o	NEO-GEO
aof	Art of Fighting	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
aof2	Art of Fighting 2	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
aof3	Art of Fighting 3	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
aoh	Age of Heroes	lr-fbneo	o	o	o	o	o	
apache3	Apache 3	lr-mame2016	o	o	!	o	o	
apb	APB	lr-mame	o	o	o	o	o	
apparel	[Adult] Apparel Night	lr-mame	o	o	o	o	kb	
appoooh	Appoooh	lr-fbneo	o	o	o	o	o	
aquajack	AquaJack	lr-fbneo	o	o	o	o	o	
aquarium	Aquarium	lr-fbneo	o	o	x	o	o	Minor visual issues on "Don't Do Drugs" screen
aquarush	Aqua Rush	lr-mame2010	!	x	o	o	o	2010 needed for best framerate. 4B gets 53fps
ar_airh	SportTime Table Hockey	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_bowl	SportTime Bowling	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_dart	World Darts!	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_fast	Magic Johnson's Fast Break	lr-mame2016	!	o	o	o	o	Arcadia Systems
ar_ldrb	Leader Board	lr-mame2016	!	o	o	o	o	Arcadia Systems
ar_ninj	Ninja Mission	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_rdwr	RoadWars	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_socc	World Trophy Soccer	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_spot	Spot	lr-mame2016	x	o	o	o	o	Arcadia Systems
ar_sprg	Space Ranger	lr-mame2016	!	o	o	o	o	Arcadia Systems
ar_xeon	Xenon	lr-mame2016	x	o	o	o	o	Arcadia Systems
arabfgt	Arabian Fight	lr-mame2016	o	o	o	o	o	
arabian	Arabian	lr-fbneo	o	o	o	o	o	
arabianm	Arabian Magic	lr-mame2016	o	o	o	o	o	A little too slow for lr-mame
arbalest	Arbalester	lr-fbneo	o	o	o	o	o	
arcadec1	[Proto] Arcade Classics	lr-fbneo	o	o	o	o	o	
arcadian	Arcadia	lr-fbneo	o	o	o	o	o	
archrivl	Arch Rivals	lr-mame2016	o	o	o	o	o	Game is intended to run at 30fps
area51mx	Area 51 / Maximum Force Duo	lr-mame2016	x	o	o	o	o	A little slow with an OC'ed 3B+
arescue	Air Rescue	lr-mame2016	x	o	x	o	?	Suggest L-Stick (X-axis and Y-axis) and R-Stick (Z-axis + Reverse)
argus	Argus	lr-fbneo	o	o	o	o	o	
arkanoid	Arkanoid	lr-fbneo	o	o	o	o	o	
arkarea	Ark Area	lr-fbneo	o	o	o	o	o	
