arcade	bbmanw
arcade	captaven
arcade	ddcrew
arcade	ddtod
arcade	dynablst
arcade	fball
arcade	gaunt2
arcade	gauntlet
arcade	gijoe
arcade	growl
arcade	hook
arcade	hyperspt
arcade	machbrkr
arcade	mbombrd
arcade	nbajam
arcade	nbajamex
arcade	nbajamte
arcade	simpsons
arcade	snowbro2
arcade	spidman
arcade	ssriders
arcade	tmnt
arcade	tmnt2
arcade	umk3
arcade	vendetta
arcade	xmen
dreamcast	Bomberman Online
dreamcast	ChuChu Rocket!
dreamcast	Demolition Racer - No Exit
dreamcast	Frogger 2 - Swampy's Revenge
dreamcast	Gauntlet Legends
dreamcast	Looney Tunes - Space Race
dreamcast	Marvel vs. Capcom 2
dreamcast	Ooga Booga
dreamcast	Outtrigger
dreamcast	Power Stone
dreamcast	Power Stone 2
dreamcast	Re-Volt
dreamcast	Samba de Amigo
dreamcast	San Francisco Rush 2049
dreamcast	Sonic Shuffle
dreamcast	Spawn - In the Demon's Hand
dreamcast	Star Wars - Episode I - Racer
dreamcast	Test Drive Le Mans
dreamcast	Virtua Tennis
dreamcast	Worms Armageddon
dreamcast	Worms World Party
megadrive	Columns III
megadrive	Gauntlet IV
megadrive	Mega Bomberman
megadrive	Micro Machines 2 - Turbo Tournament
megadrive	NBA Jam
megadrive	NBA Jam - Tournament Edition
megadrive	Tiny Toon Adventures - ACME All-Stars
n64	Army Men - Air Combat
n64	Beetle Adventure Racing!
n64	Bomberman 64
n64	Diddy Kong Racing
n64	Excitebike 64
n64	Extreme-G XG2
n64	F-Zero X
n64	Gauntlet Legends
n64	GoldenEye 007
n64	Jet Force Gemini
n64	Kirby 64 - The Crystal Shards
n64	Mario Golf
n64	Mario Kart 64
n64	Mario Party
n64	Mario Party 2
n64	Mario Party 3
n64	Mario Tennis
n64	Micro Machines 64 Turbo
n64	Ms. Pac-Man - Maze Madness
n64	Perfect Dark
n64	Re-Volt
n64	San Francisco Rush 2049
n64	South Park Rally
n64	Super Smash Bros.
n64	Wipeout 64
n64	WWF No Mercy
nes	Danny Sullivan's Indy Heat
nes	Dynablaster
nes	Gauntlet II
nes	Ivan 'Ironman' Stewart's Super Off Road
nes	Nightmare on Elm Street, A
nes	R.C. Pro-Am II
nes	Super Spike V'Ball
pcengine	Bomberman
pcengine	Bomberman '93
pcengine	Dungeon Explorer
pcengine	Dungeon Explorer II
psx	Bomberman
psx	Bomberman Land
psx	Bomberman World
psx	Cool Boarders 4
psx	Crash Bash
psx	CTR - Crash Team Racing
psx	Exciting Pro Wres
psx	Frogger 2 - Swampy's Revenge
psx	Gekido - Urban Fighters
psx	Micro Machines V3
psx	Micro Maniacs
psx	Motor Mash
psx	Ms. Pac-Man Maze Madness
psx	NBA Jam - Tournament Edition
psx	NBA Jam Extreme
psx	Poy Poy
psx	Poy Poy 2
psx	Rally Cross
psx	Rampage - Through Time
psx	Rampage 2 - Universal Tour
psx	S.C.A.R.S.
psx	Sled Storm
psx	South Park - Chef's Luv Shack
psx	Speed Freaks
psx	Team Buddies
psx	Twisted Metal 4
psx	Twisted Metal III
psx	Worms
psx	Worms Armageddon
psx	Worms World Party
psx	WWF SmackDown!
psx	WWF SmackDown! 2 - Know Your Role
psx	You Don't Know Jack
psx	You Don't Know Jack - Mock 2
sega32x	NBA Jam - Tournament Edition
segacd	Dungeon Explorer
segacd	NBA Jam
snes	Micro Machines
snes	Micro Machines 2 - Turbo Tournament
snes	NBA Jam
snes	NBA Jam - Tournament Edition
snes	NHL Hockey '94
snes	Saturday Night Slam Masters
snes	Smash Tennis
snes	Street Racer
snes	Super Bomberman
snes	Super Bomberman 2
snes	Super Bomberman 3
snes	Super Bomberman 4
snes	Super Bomberman 5
snes	Super Tetris 3
snes	Tiny Toon Adventures - Wild & Wacky Sports
snes	Top Gear 3000
