005	joy
10yard85	joy
10yardj	joy
10yard	joy
110dance	joy
11beat	joy,stick
18wheelr	joy,paddle,pedal
18wheelro	paddle,pedal
18wheelrt	paddle,pedal
18wheels	paddle,pedal
18wheelu	paddle,pedal
1941j	joy
1941	joy
1941r1	joy
1941u	joy
1942abl	joy
1942a	joy
1942b	joy
1942h	joy
1942	joy
1942p	joy
1942w	joy
1943bj	joy
1943b	joy
1943jah	joy
1943ja	joy
1943j	joy
1943	joy
1943kai	joy
1943mii	joy
1943ua	joy
1943u	joy
1944d	joy
1944j	joy
1944	joy
1945kiii	joy
1945kiiin	joy
1945kiiio	joy
19in1	joy
19xxa	joy
19xxar1	joy
19xxb	joy
19xxd	joy
19xxh	joy
19xxj	joy
19xx	joy
19xxjr1	joy
19xxjr2	joy
19xxu	joy
1on1gov	joy
2001tgm	keypad
2020bba	joy
2020bbh	joy
2020bb	joy
20pacgal	joy
20pacgalr0	joy
20pacgalr1	joy
20pacgalr2	joy
20pacgalr3	joy
20pacgalr4	joy
24cdjuke	keypad
25pacman	joy
25pacmano	joy
280zzzap	paddle,pedal
2mindril	dial
32xe	joy
32xj	joy
32x	joy
32x_mcdj	joy
32x_mcd	joy
32x_scd	joy
386i	keyboard
386sc2c	keyboard,mouse
386sc	keyboard,mouse
39in1	joy
3bagflnz	gambling
3bagflvt	gambling
3cdpokera	gambling
3cdpoker	gambling
3countb	joy
3dobios	joy
3do	joy
3do_pal	joy
3in1semi	joy
3kokushi	joy
3on3dunk	joy
3siud	keyboard,mouse
3stoogesa	joy
3stooges	joy
3super8	gambling
3wondersb	joy
3wondersh	joy
3wonders	joy
3wondersr1	joy
3wondersu	joy
3wonderu	joy
3x3puzzla	joy
3x3puzzl	joy
40lovej	joy
40love	joy
47pie2	mahjong
47pie2o	mahjong
486apio	keyboard,mouse
486ccv	keyboard,mouse
486igb21	keyboard,mouse
48in1a	joy
48in1b	joy
48in1	joy
4d20	keyboard,mouse
4d25	keyboard,mouse
4d30	keyboard,mouse
4d35	keyboard,mouse
4dmshl3g	keyboard,mouse
4dmuhl3s	keyboard,mouse
4dwarrio	joy
4enlinea	joy
4enrayaa	joy
4enraya	joy
4in1a	joy
4in1b	joy
4in1boot	joy
4in1	joy
4nd04a	keyboard,mouse
4psimasy	mahjong
500gp	joy,vjoy
5clowna	gambling
5clown	gambling
5clownsp	gambling
600	joy
60in1	joy
64streej	joy
64streetja	joy
64streetj	joy
64street	joy
68ksbc	keyboard
720	dial,stick
720g	dial,stick
720gr1	dial,stick
720r1	dial,stick
720r2	dial,stick
720r3	dial,stick
7in1ss	joy
7jigen	mahjong
7mezzo	only_buttons
7ordi	only_buttons
7smash	gambling
7toitsu	mahjong
800fatha	joy
800fath	joy
86lions	gambling
88games	only_buttons
8ball1	joy
8ballact2	joy
8ballact	joy
8ballat2	joy
8ball	joy
8bpm	joy
98best44	joy,only_buttons
990189	keyboard,stick
990189v	keyboard,stick
99bottles	keypad
99lstwara	joy
99lstwarb	joy
99lstwar	joy
99lstwark	joy
99lstwra	joy
99lstwrk	joy
9ballsh2	joy
9ballsh3	joy
9ballsht2	joy
9ballsht3	joy
9ballshtc	joy
9ballsht	joy
a1000	joy,keyboard,mouse
a1000kbd_de	keyboard
a1000kbd_dk	keyboard
a1000kbd_fr	keyboard
a1000kbd_gb	keyboard
a1000kbd_it	keyboard
a1000kbd_se	keyboard
a1000kbd_us	keyboard
a1000n	joy,keyboard,mouse
a1010	keyboard
a1200	joy,keyboard,mouse
a1200kbd_rb	keyboard
a1200n	joy,keyboard,mouse
a1200xl	joy,keyboard,paddle
a130xe	joy,keyboard,paddle
a2000	joy,keyboard,mouse
a2000kbd_ch	keyboard
a2000kbd_de	keyboard
a2000kbd_dk	keyboard
a2000kbd_es	keyboard
a2000kbd_fr	keyboard
a2000kbd_g80_de	keyboard
a2000kbd_g80_dk	keyboard
a2000kbd_g80_gb	keyboard
a2000kbd_g80_se	keyboard
a2000kbd_g80_us	keyboard
a2000kbd_gb	keyboard
a2000kbd_it	keyboard
a2000kbd_no	keyboard
a2000kbd_se	keyboard
a2000kbd_us	keyboard
a2000n	joy,keyboard,mouse
a2mouse	mouse
a3000	joy,keyboard,mouse
a3000n	joy,keyboard,mouse
a400030	joy,keyboard,mouse
a400030n	joy,keyboard,mouse
a4000	joy,keyboard,mouse
a4000n	joy,keyboard,mouse
a4000t	joy,keyboard,mouse
a4000tn	joy,keyboard,mouse
