Ace of Aces	https://archive.org/download/ImpossibleMissionUSA/Ace of Aces (USA).pdf
Alien Brigade	https://archive.org/download/ImpossibleMissionUSA/Alien Brigade (USA).pdf
Asteroids	https://archive.org/download/ImpossibleMissionUSA/Asteroids (USA).pdf
Ballblazer	https://archive.org/download/ImpossibleMissionUSA/Ballblazer (USA).pdf
Barnyard Blaster	https://archive.org/download/ImpossibleMissionUSA/Barnyard Blaster (USA).pdf
Baseball	https://archive.org/download/ImpossibleMissionUSA/Pete Rose Baseball (USA).pdf
Basketbrawl	https://archive.org/download/ImpossibleMissionUSA/Basketbrawl (USA).pdf
Centipede	https://archive.org/download/ImpossibleMissionUSA/Centipede (USA).pdf
Choplifter!	https://archive.org/download/ImpossibleMissionUSA/Choplifter! (USA).pdf
Commando	https://archive.org/download/ImpossibleMissionUSA/Commando (USA).pdf
Crack'ed	https://archive.org/download/ImpossibleMissionUSA/Crack'ed (USA).pdf
Crossbow	https://archive.org/download/ImpossibleMissionUSA/Crossbow (USA).pdf
Dark Chambers	https://archive.org/download/ImpossibleMissionUSA/Dark Chambers (USA).pdf
Desert Falcon	https://archive.org/download/ImpossibleMissionUSA/Desert Falcon (USA).pdf
Dig Dug	https://archive.org/download/ImpossibleMissionUSA/Dig Dug (USA).pdf
Donkey Kong	https://archive.org/download/ImpossibleMissionUSA/Donkey Kong (USA).pdf
Donkey Kong Junior	https://archive.org/download/ImpossibleMissionUSA/Donkey Kong Junior (USA).pdf
Double Dragon	https://archive.org/download/ImpossibleMissionUSA/Double Dragon (USA).pdf
F-18 Hornet	https://archive.org/download/ImpossibleMissionUSA/F-18 Hornet (USA).pdf
Fatal Run	https://archive.org/download/ImpossibleMissionUSA/Fatal Run (USA).pdf
Fight Night	https://archive.org/download/ImpossibleMissionUSA/Fight Night (USA).pdf
Food Fight	https://archive.org/download/ImpossibleMissionUSA/Food Fight (USA).pdf
Galaga	https://archive.org/download/ImpossibleMissionUSA/Galaga (USA).pdf
Hat Trick	https://archive.org/download/ImpossibleMissionUSA/Hat Trick (USA).pdf
Ikari Warriors	https://archive.org/download/ImpossibleMissionUSA/Ikari Warriors (USA).pdf
Impossible Mission	https://archive.org/download/ImpossibleMissionUSA/Impossible Mission (USA).pdf
Jinks	https://archive.org/download/ImpossibleMissionUSA/Jinks (USA).pdf
Joust	https://archive.org/download/ImpossibleMissionUSA/Joust (USA).pdf
Karateka	https://archive.org/download/ImpossibleMissionUSA/Karateka (USA).pdf
Klax	https://archive.org/download/ImpossibleMissionUSA/Klax (1992) (Atari).pdf
Kung-Fu Master	https://archive.org/download/ImpossibleMissionUSA/Kung-Fu Master (USA).pdf
Mario Bros.	https://archive.org/download/ImpossibleMissionUSA/Mario Bros. (USA).pdf
Mat Mania Challenge	https://archive.org/download/ImpossibleMissionUSA/Mat Mania Challenge (USA).pdf
Mean 18 Ultimate Golf	https://archive.org/download/ImpossibleMissionUSA/Mean 18 Ultimate Golf (USA).pdf
Meltdown	https://archive.org/download/ImpossibleMissionUSA/Meltdown (USA).pdf
Midnight Mutants	https://archive.org/download/ImpossibleMissionUSA/Midnight Mutants (USA).pdf
Motor Psycho	https://archive.org/download/ImpossibleMissionUSA/Motor Psycho (USA).pdf
Ms. Pac-Man	https://archive.org/download/ImpossibleMissionUSA/Ms. Pac-Man (USA).pdf
Ninja Golf	https://archive.org/download/ImpossibleMissionUSA/Ninja Golf (USA).pdf
One-on-One Basketball	https://archive.org/download/ImpossibleMissionUSA/One-on-One Basketball (USA).pdf
Planet Smashers	https://archive.org/download/ImpossibleMissionUSA/Planet Smashers (USA).pdf
Pole Position II	https://archive.org/download/ImpossibleMissionUSA/Pole Position II (USA).pdf
Rampage	https://archive.org/download/ImpossibleMissionUSA/Rampage (USA).pdf
RealSports Baseball	https://archive.org/download/ImpossibleMissionUSA/RealSports Baseball (USA).pdf
Robotron - 2084	https://archive.org/download/ImpossibleMissionUSA/Robotron - 2084 (USA).pdf
Scrapyard Dog	https://archive.org/download/ImpossibleMissionUSA/Scrapyard Dog (USA).pdf
Sentinel	https://archive.org/download/ImpossibleMissionUSA/Sentinel (Europe).pdf
Summer Games	https://archive.org/download/ImpossibleMissionUSA/Summer Games (USA).pdf
Super Huey UH-1X	https://archive.org/download/ImpossibleMissionUSA/Super Huey UH-1X (USA).pdf
Super Skateboardin'	https://archive.org/download/ImpossibleMissionUSA/Super Skateboardin' (USA).pdf
Tank Command	https://archive.org/download/ImpossibleMissionUSA/Tank Command (USA).pdf
Title Match Pro Wrestling	https://archive.org/download/ImpossibleMissionUSA/Title Match Pro Wrestling (USA).pdf
Tomcat - The F-14 Fighter Simulator	https://archive.org/download/ImpossibleMissionUSA/Tomcat - The F-14 Fighter Simulator (USA).pdf
Touchdown Football	https://archive.org/download/ImpossibleMissionUSA/Touchdown Football (USA).pdf
Tower Toppler	https://archive.org/download/ImpossibleMissionUSA/Tower Toppler (USA).pdf
Water Ski	https://archive.org/download/ImpossibleMissionUSA/Water Ski (USA).pdf
Winter Games	https://archive.org/download/ImpossibleMissionUSA/Winter Games (USA).pdf
Xenophobe	https://archive.org/download/ImpossibleMissionUSA/Xenophobe (USA).pdf
Xevious	https://archive.org/download/ImpossibleMissionUSA/Xevious (USA).pdf
