Aircars	lr-virtualjaguar	5
Alien vs Predator	lr-virtualjaguar	3
Atari Karts	lr-virtualjaguar	4
Attack of the Mutant Penguins	lr-virtualjaguar	4
Barkley Shut Up and Jam	lr-virtualjaguar	3
Brutal Sports Football	lr-mess	5
Bubsy in Fractured Furry Tales	lr-mess	5
Cannon Fodder	lr-mess	5
Defender 2000	lr-virtualjaguar	3
Doom	lr-mess	5
Double Dragon V - The Shadow Falls	lr-virtualjaguar	5
Dragon - The Bruce Lee Story	lr-virtualjaguar	4
Evolution - Dino Dudes	lr-mess	5
Fever Pitch Soccer	lr-virtualjaguar	3
Fight for Life	lr-virtualjaguar	5
Flashback - The Quest for Identity	lr-virtualjaguar	5
International Sensible Soccer	lr-virtualjaguar	5
Missile Command 3D	lr-virtualjaguar	3
NBA Jam - Tournament Edition	lr-virtualjaguar	3
Pinball Fantasies	lr-virtualjaguar	5
Protector - Special Edition	lr-virtualjaguar	4
Raiden	lr-virtualjaguar	5
Rayman	lr-virtualjaguar	5
Soccer Kid	lr-virtualjaguar	5
Space War 2000	lr-virtualjaguar	5
Syndicate	lr-virtualjaguar	5
Tempest 2000	lr-mess	3
Theme Park	lr-virtualjaguar	4
Total Carnage	lr-virtualjaguar	3
Trevor McFur in the Crescent Galaxy	lr-virtualjaguar	5
Troy Aikman NFL Football	lr-virtualjaguar	5
Ultra Vortex	lr-virtualjaguar	5
Val d'Isere Skiing and Snowboarding	lr-virtualjaguar	3
Wolfenstein 3D	lr-virtualjaguar	5
Worms	lr-virtualjaguar	5
Zero 5	lr-virtualjaguar	5
Zool 2	lr-mess	5
