007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
007 - Licence to Kill	en-gb,it	https://archive.org/download/Commodore64Manuals/LicenceToKilleurope.pdf
007 - Living Daylights, The	en	https://archive.org/download/JamesBond007TheLivingDaylightsGB/James Bond 007 - The Living Daylights (GB).pdf
007 - Living Daylights, The	es	https://archive.org/download/TheLivingDaylights1987WalkingCirclesSoftwareES/The Living Daylights (1987)(Walking Circles Software)(ES).pdf
007 - Spy Who Loved Me, The	en-gb,it	https://archive.org/download/TheSpyWhoLovedMe/TheSpyWhoLovedMe.pdf
10th Frame	en	https://archive.org/download/10th_Frame_1986_Access_Software/10th_Frame_1986_Access_Software.pdf
11-A-Side Soccer	en	https://archive.org/download/4_Soccer_Simulators_1989_Codemasters/4_Soccer_Simulators_1989_Codemasters.pdf
180	en	https://archive.org/download/180_1986_Mastertronic/180_1986_Mastertronic.pdf
19 Part One - Boot Camp	en	https://archive.org/download/Commodore64Manuals/Boot Camp (USA).pdf
1942	en	https://archive.org/download/Commodore64Manuals/1942 (Europe).pdf
1943 - The Battle of Midway	en	https://archive.org/download/Commodore64Manuals/1943 - The Battle of Midway (USA).pdf
1985 - The Day After	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/1985 - The Day After (Europe).pdf
1994 - Ten Years After	en	https://archive.org/download/Commodore64Manuals/1994 - Ten Years After (Europe).pdf
3D Construction Kit	en	https://archive.org/download/Commodore64Manuals/3D Construction Kit (Europe).pdf
3D Pool	en	https://archive.org/download/Commodore64Manuals/3D Pool (Europe).pdf
3D Stock Cars II	en	https://archive.org/download/Commodore64Manuals/3D Stock Cars II (Europe).pdf
4th & Inches	en	https://archive.org/download/Commodore64Manuals/4th & Inches (USA).pdf
720 Degrees	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/720 Degrees (USA).pdf
ACE 2088	en	https://archive.org/download/Commodore64Manuals/Ace 2088 (Europe).pdf
Ace II	en	https://archive.org/download/Commodore64Manuals/Ace II (Europe).pdf
Ace II	es	https://archive.org/download/ace-2/ACE 2 es.pdf
Ace of Aces	en	https://archive.org/download/AceOfAcesAccolade/Ace_of_Aces_Accolade.pdf
Acrojet	en	https://archive.org/download/Acrojet_1985_Microprose_Software/Acrojet_1985_Microprose_Software.pdf
Action Biker	en-gb,de,es,fr,it	https://archive.org/download/Action_Biker_1985_Mastertronic/Action_Biker_1985_Mastertronic.pdf
Action Fighter	en	https://archive.org/download/Commodore64Manuals/Action Fighter (Europe).pdf
Action Force	en	https://archive.org/download/Commodore64Manuals/Contra (USA).pdf
Activision Decathlon, The	en	https://archive.org/download/Commodore64Manuals/Decathlon (USA).pdf
Addams Family, The	en	http://www.digitpress.com/library/manuals/c64/Addams_Family.txt
ADIDAS Championship Tie Break	en	https://archive.org/download/adidastennis/adidastennis.pdf
Advanced Dungeons & Dragons - Dragon Lance - Heroes of the Lance	en	https://archive.org/download/c64man_heroes-lance/c64man_heroes-lance_images.zip
Adventure Creator	en	https://archive.org/download/AdventureCreatorSpinnaker/Adventure_Creator_Spinnaker.pdf
Aegean Voyage	en	https://archive.org/download/Aegean_Voyage_1984_Spinnaker/Aegean_Voyage_1984_Spinnaker.pdf
After the War	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/After the War (Spain).pdf
Afterburner	en	https://archive.org/download/AfterBurnerManual/After Burner (GB).pdf
Afterburner	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/Afterburner (USA).pdf
Afterburner	es	https://archive.org/download/AfterBurnerES/After Burner (ES).pdf
Aftermath	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Aftermath (Alternative Software) (Europe).pdf
Agent X II - The Mad Prof's Back	en	https://archive.org/download/Commodore64Manuals/Agent X II - The Mad Prof's Back (Europe).pdf
Airborne Ranger	en	https://archive.org/download/Commodore64Manuals/Airborne Ranger (USA).pdf
Airwolf 64	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/Airwolf (Europe).pdf
Airwolf II	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/Airwolf II (Europe).pdf
Alcazar - The Forgotten Fortress	en	http://www.digitpress.com/library/manuals/c64/alcazar.txt
Alf in the Color Caves	en	https://archive.org/download/alfinthecolorcavesspinnaker/Alf_in_the_Color_Caves_Spinnaker_jp2.zip
Alice In Videoland	en	http://www.digitpress.com/library/manuals/c64/AliceInVideoland.txt
Alien 3	en-gb,de,fr,it	https://archive.org/download/Alien_3_1992_Virgin/Alien_3_1992_Virgin.pdf
Alien Storm	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/Alien Storm (Europe).pdf
Alien World	en-gb,de,es,fr,it	https://archive.org/download/Alien_World_1992_Hi-Tec/Alien_World_1992_Hi-Tec.pdf
Aliens	en	https://archive.org/download/Commodore64Manuals/Aliens - The Computer Game (USA).pdf
Aliens - The Computer Game	en	https://archive.org/download/Commodore64Manuals/Aliens - The Computer Game (USA).pdf
All Points Bulletin	en	http://www.digitpress.com/library/manuals/c64/APB.txt
Alleykat	en	https://archive.org/download/Commodore64Manuals/Alleykat (Europe).pdf
Alpha Build	en	https://archive.org/download/Alpha_Build_1984_Fisher_Price/Alpha_Build_1984_Fisher_Price.pdf
Alphabet Zoo	en	https://archive.org/download/alphabet-zoo-disk-version-spinnaker/Alphabet_Zoo_disk_version_Spinnaker.pdf
Altered Beast	en	https://archive.org/download/Commodore64Manuals/Altered Beast (USA).pdf
Altered Beast	en-gb,de,fr,it	https://archive.org/download/Altered_Beast_1989_Activision_a/Altered_Beast_1989_Activision_a.pdf
