18 Wheeler - American Pro Trucker (USA)	reicast
21 - Two One (Japan)	reicast
4 Wheel Thunder	reicast
4x4 Evolution Doesn't Work	reicast
90 Minutes: Sega Championship Football	reicast
Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen	reicast
Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou	reicast
Aero Dancing i	reicast
Aero Dancing i: Jikai Sakuma de Machite Masen	reicast
AeroWings	reicast
AeroWings 2: Air Strike	reicast
Airforce Delta	reicast
Alien Front Online	reicast
Alone in the Dark: The New Nightmare	reicast
Aqua GT	reicast
Army Men: Sarge's Heroes	redream
BassRush Dream	reicast
Boku, Doraemon	reicast
Bomber Hehhe	reicast
Bust-A-Move 4	reicast
Candy Stripe	reicast
Capcom vs. SNK	reicast
Capcom vs. SNK 2: Millionaire Fighting 2001	redream
Card Captor Sakura: Tomoyo no Video Daisenkusen	reicast
Carrier	reicast
CART Flag To Flag	reicast
Centipede	reicast
Charge 'N Blast	reicast
Chicken Run (USA)	reicast
ChuChu Rocket!	reicast
Cleopatra Fortune	reicast
Coaster Works	reicast
Confidential Mission	reicast
Conflict Zone	reicast
Cool Cool Toon	reicast
Cosmic Smash	reicast
Crazy Taxi	reicast
Crazy Taxi 2	reicast
Cyber Troopers Virtual-On Oratorio Tangram	redream
Dance Dance Revolution 2nd Mix	reicast
Dance Dance Revolution Club Version Dreamcast Version	reicast
Dave Mirra Freestyle BMX	reicast
Daytona USA	redream
Dead or Alive 2	redream
Death Crimson 2	reicast
Demolition Racer: No Exit	reicast
Dino Crisis	reicast
Disney's Dinosaur	reicast
Disney's Donald Duck: Goin' Quackers	reicast
Disney/Pixar Buzz Lightyear of Star Command	reicast
Draconus: Cult of the Wyrm	reicast
Dynamite Cop	redream
Ecco the Dolphin: Defender of the Future	reicast
El Dorado Gate Volume 1	reicast
ESPN International Track & Field	reicast
Exhibition of Speed	reicast
Expendable	reicast
Fighting Force 2	reicast
Fighting Vipers 2	redream
Frogger 2: Swampy's Revenge	reicast
Fushigi no Dungeon: Furai no Shiren Gaiden: Jokenji Asuka Kenzan!	reicast
Giant Gram 2000: All-Japan Wrestling 3	reicast
Giga Wing	reicast
Giga Wing 2	reicast
Godzilla Generatio“$$ns	reicast
Grand Theft Auto 2	reicast
Grandia 2	redream
Guilty Gear X	redream
Gunbird 2	reicast
Headhunter	reicast
Hydro Thunder	reicast
Ikaruga	reicast
Illbleed	reicast
Incoming	reicast
Jeremy McGrath Supercross 2000	reicast
Jet Grind Radio	reicast
Jojo's Bizarre Adventure	reicast
Kao the Kangaroo	reicast
Kita e. White Illumination	reicast
Legacy of Kain: Soul Reaver	reicast
Mag Force Racing	reicast
Maken X	reicast
Marionette Handler	reicast
Marionette Handler 2	reicast
Mars Matrix	reicast
Marvel vs. Capcom 2	reicast
Marvel vs. Capcom 2: New Age of Heroes	redream
Marvel vs. Capcom: Clash of Super Heroes	reicast
Mat Hoffman's Pro BMX	reicast
Metropolis Street Racer	reicast
Moekan	reicast
Mortal Kombat Gold	redream
Mr. Driller	reicast
Ms. Pac-Man Maze Madness	reicast
Namco Museum	reicast
Neppachi IV@VPACHI	reicast
NFL Blitz 2000	reicast
NFL Blitz 2001	reicast
Omikron: The Nomad Soul	reicast
Pachinko no Dendou: CR Nanashi	reicast
Pandora no Yume	reicast
Panzer Front	reicast
Phantasy Star Online	reicast
Phantasy Star Online Ver. 2	reicast
Planet Ring	reicast
Plasma Sword: Nightmare of Bilstein	redream
Power Stone	redream
Power Stone 2	redream
Prince of Persia: Arabian Nights	reicast
Project Justice	redream
Psychic Force 2012	reicast
Rainbow Cotton	reicast
Rayman 2: The Great Escape	reicast
Re-Volt	reicast
Ready 2 Rumble Boxing	reicast
Ready 2 Rumble Boxing: Round 2	reicast
Resident Evil 3: Nemesis	reicast
Resident Evil Code: Veronica	reicast
Rippin' Riders	reicast
Roadsters	reicast
Sakura Taisen Kinematron Hanagumi Mail	reicast
San Francisco Rush 2049	reicast
Sega Bass Fishing	redream
Sega Marine Fishing	reicast
Sega Rally Championship 2	reicast
Sega Smash Pack Vol. 1	reicast
Sega Worldwide Soccer 2000 Euro Edition	reicast
Shadow Man	reicast
Shenmue	reicast
Shenmue II	reicast
Silent Scope	redream
Silver	reicast
Skies of Arcadia	reicast
Slave Zero	reicast
Sonic Adventure	reicast
Sonic Adventure 2	reicast
Soulcalibur	redream
Speed Devils: Online Racing	reicast
Star Wars Episode I Racer	reicast
Street Fighter III: 3rd Strike	reicast
Street Fighter III: Double Impact	reicast
Striker Pro 2000	reicast
Sturmwind	reicast
Super Magnetic Neo	reicast
Super Street Fighter II	reicast
Suzuki Alstare Extreme Racing	reicast
Tech Romancer	redream
Tee Off	reicast
The Grinch	reicast
The House of the Dead 2	redream
The King of Fighters '99: Evolution	reicast
The King of Fighters 2000	reicast
The King of Fighters: Dream Match 1999	redream
Time Stalkers	reicast
Tokyo Bus Annai: Bijin Bug Guide Tenjou Pack	reicast
