pbobbl2n	title	Puzzle Bobble 2 / Bust-A-Move Again
sdodgeb	title	Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu
gnw_bfight	title	Balloon Fight
gnw_boxing	title	Boxing
gnw_chef	title	Chef
gnw_climber	title	Climber
gnw_dkhockey	title	Donkey Kong Hockey
gnw_dkjrp	title	Donkey Kong Jr. ~ Panorama
gnw_dkong3	title	Donkey Kong 3
gnw_fire	title	Fire
gnw_fires	title	Fire ~ Silver
gnw_helmet	title	Helmet
gnw_manholeg	title	Manhole ~ Gold
gnw_mariocmt	title	Mario's Cement Factory ~ Table Top
gnw_mmouse	title	Mickey Mouse
gnw_mmousep	title	Mickey Mouse ~ Panorama
gnw_octopus	title	Octopus
gnw_opanic	title	Oil Panic
gnw_popeyep	title	Popeye - Panorama
gnw_smb	title	Super Mario Bros.
