007 - The World Is Not Enough	en	https://www.thegameisafootarcade.com/wp-content/uploads/2017/04/007-The-World-is-Not-Enough-Game-Manual.pdf
10-Pin Bowling	en	https://www.thegameisafootarcade.com/wp-content/uploads/2017/04/10-Pin-Bowling-Game-Manual.pdf
102 Dalmatians - Puppies to the Rescue	en	https://archive.org/download/NintendoGameBoyColorManuals/102 Dalmatians - Puppies to the Rescue (USA, Europe).pdf
720 Degrees	en	https://archive.org/download/NintendoGameBoyColorManuals/720 Degrees (USA, Europe).pdf
Animorphs	en	https://archive.org/download/NintendoGameBoyColorManuals/Animorphs (USA).pdf
Army Men	en	https://www.thegameisafootarcade.com/wp-content/uploads/2017/04/Army-Men-Game-Manual.pdf
Army Men - Air Combat	en	https://www.thegameisafootarcade.com/wp-content/uploads/2017/04/Army-Men-Air-Combat-Game-Manual.pdf
Army Men - Sarge's Heroes 2	en	https://archive.org/download/NintendoGameBoyColorManuals/Army Men - Sarge's Heroes 2 (USA, Europe).pdf
Atlantis - The Lost Empire	en	https://www.thegameisafootarcade.com/wp-content/uploads/2017/05/Atlantis-The-Lost-Empire-Game-Manual.pdf
Azure Dreams	en	https://archive.org/download/NintendoGameBoyColorManuals/Azure Dreams (USA).pdf
B-Daman Bakugaiden - Victory e no Michi	ja	https://archive.org/compress/manual-09/formats=JPEG&file=/manual-09.zip	filter=manual*
B-Daman Bakugaiden V - Final Mega Tune	ja	https://archive.org/compress/manual-00/formats=JPEG&file=/manual-00.zip	filter=manual*
Babe and Friends	en	https://archive.org/download/booklet_20201219_0329/booklet.pdf
Barbie - Pet Rescue	en	https://archive.org/download/NintendoGameBoyColorManuals/Barbie - Pet Rescue (USA).pdf
Barcode Taisen Bardigun	ja	https://archive.org/compress/BarcodeTaisenBardigunManual/formats=JPEG&file=/BarcodeTaisenBardigunManual.zip
Bass Masters Classic	en	https://archive.org/download/booklet_20201219_0335/booklet.pdf
Beach'n Ball	en	https://archive.org/download/booklet_20201219_0447/booklet.pdf
Beauty and the Beast - A Board Game Adventure	en	https://archive.org/download/NintendoGameBoyColorManuals/Beauty and the Beast - A Board Game Adventure (USA).pdf
Bionic Commando - Elite Forces	en	https://archive.org/download/NintendoGameBoyColorManuals/Bionic Commando - Elite Forces (USA).pdf
