007 - The World Is Not Enough	en	https://archive.org/download/Nintendo64GameManuals/007 - The World Is Not Enough (U).pdf
1080 Snowboarding	en	https://archive.org/download/Nintendo64Manuals_201812/1080 Snowboarding (Japan, USA) (En,Ja).pdf
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World	ja	https://archive.org/download/64-de-hakken-tamagotchi-minna-de/64-De-Hakken-Tamagotchi-Minna-De.pdf
64 Hanafuda - Tenshi no Yakusoku	ja	https://archive.org/download/64-hanafuda-tenshi-no-yakusoku-1/64-Hanafuda-Tenshi-No-Yakusoku-1.pdf
64 Oozumou	ja	https://archive.org/download/64-oozumou-1997-jcolor/64 Oozumou (1997)(J)(color).cbr
64 Oozumou 2	ja	https://archive.org/download/64-oozumou-2-1999-jcolor/64-Oozumou-2-1999Jcolor.pdf
64 Trump Collection - Alice no Wakuwaku Trump World	ja	https://archive.org/download/64-trump-collection-alice-no-wak/64-Trump-Collection-Alice-No-Wak.pdf
AeroFighters Assault	en	https://archive.org/download/aero-fighters-assault-1997-ucolor/AeroFighters-Assault-1997Ucolor.pdf
AeroGauge	en	https://archive.org/download/Nintendo64Manuals_201812/AeroGauge (USA).pdf
Aidyn Chronicles - The First Mage	en	https://archive.org/download/Nintendo64Manuals_201812/Aidyn Chronicles - The First Mage (USA).pdf
Airboarder 64	ja	https://archive.org/download/air-boarder-64-1998-jcolor/Air-Boarder-64-1998Jcolor.pdf
All Star Tennis '99	en	https://archive.org/download/all-star-tennis-99-1998-u/All-Star-Tennis-99-1998U.pdf
All-Star Baseball 2000	en	https://archive.org/download/Nintendo64Manuals_201812/All-Star Baseball 2000 (USA).pdf
All-Star Baseball 2001	en	https://archive.org/download/all-star-baseball-2001-2000-u/All-Star-Baseball-2001-2000U.pdf
All-Star Baseball 99	en	https://archive.org/download/Nintendo64Manuals_201812/All-Star Baseball '99 (USA).pdf
Armorines - Project S.W.A.R.M.	en	https://archive.org/download/Nintendo64Manuals_201812/Armorines - Project S.W.A.R.M. (USA).pdf
Army Men - Air Combat	en	https://archive.org/download/Nintendo64Manuals_201812/Army Men - Air Combat (USA).pdf
Army Men - Sarge's Heroes	en	https://archive.org/download/Nintendo64GameManuals/Army Men - Sarge's Heroes (U).pdf
Army Men - Sarge's Heroes 2	en	https://archive.org/download/Nintendo64Manuals_201812/Army Men - Sarge's Heroes 2 (USA).pdf
Asteroids Hyper 64	en	https://archive.org/download/asteroids-hyper-64-1999-ucolor/Asteroids-Hyper-64-1999Ucolor.pdf
Automobili Lamborghini	en	https://www.retrogames.cz/manualy/N64/Automobili_Lamborghini_-_Nintendo_64_-_Manual.pdf
Banjo-Kazooie	en	https://archive.org/download/Nintendo64GameManuals/Banjo-Kazooie (A).pdf
Banjo-Tooie	en	https://archive.org/download/Nintendo64GameManuals/Banjo-Tooie (A).pdf
Bassmasters 2000	en	https://archive.org/download/bass-masters-2000-1999-ucolor/Bass-Masters-2000-1999Ucolor.pdf
Batman of the Future - Return of the Joker	en	https://archive.org/download/batman-beyond-return-of-the-joke/Batman-Beyond-Return-Of-The-Joke.pdf
BattleTanx	en	https://archive.org/download/Nintendo64Manuals_201812/BattleTanx (USA).pdf
BattleTanx - Global Assault	en	https://archive.org/download/Nintendo64Manuals_201812/BattleTanx - Global Assault (USA).pdf
Battlezone - Rise of the Black Dogs	en	https://archive.org/download/battlezone-rise-of-the-black-dog/Battlezone-Rise-Of-The-Black-Dog.pdf
Beetle Adventure Racing!	en	https://archive.org/download/Nintendo64Manuals_201812/Beetle Adventure Racing! (USA) (En,Fr,De).pdf
Big Mountain 2000	en	https://archive.org/download/big-mountain-2000-2000-ucolor/Big-Mountain-2000-2000Ucolor.pdf
Bio F.R.E.A.K.S.	en	https://archive.org/download/Nintendo64Manuals_201812/Bio F.R.E.A.K.S. (USA).pdf
Blast Corps	en	https://archive.org/download/nintendo-n64-blast-corps/Nintendo N64 Blast Corps.pdf
Blues Brothers 2000	en	https://archive.org/download/blues-brothers-2000-2000-ucolor/Blues-Brothers-2000-2000Ucolor.pdf
Body Harvest	en	https://archive.org/download/Nintendo64GameManuals/BodyHarvestuk.pdf
Bomberman 64	en	https://archive.org/download/bomberman-64-manual/Bomberman 64 Manual.pdf
Bomberman 64	ja	https://archive.org/compress/bakubomberman/formats=JPEG&file=/bakubomberman.zip	filter=manual*
Bomberman 64 - The Second Attack!	en	https://archive.org/download/bomberman-64-the-second-attack-2/Bomberman-64-The-Second-Attack-2.pdf
Bomberman 64 - The Second Attack!	ja	https://archive.org/compress/bakubomberman2/formats=JPEG&file=/bakubomberman2.zip	pages=4-26
Bomberman Hero	en	https://archive.org/download/bomberman-hero-manual/Bomberman Hero Manual.pdf
Bomberman Hero	ja	https://archive.org/compress/bombermanherojp/formats=JPEG&file=/bombermanherojp.zip	filter=Image (*
Bottom of the 9th	en	https://archive.org/download/bottom-of-the-9th-nus-nboe-usa/Bottom-Of-The-9th-NUS-NBOE-USA.pdf
Brunswick Circuit Pro Bowling	en	https://archive.org/download/brunswick-circuit-pro-bowling-19/Brunswick-Circuit-Pro-Bowling-19.pdf
Buck Bumble	en	https://archive.org/download/buck-bumble-1998-ucolor/Buck-Bumble-1998Ucolor.pdf
Bug's Life, A	en	https://archive.org/download/Nintendo64Manuals_201812/Bug's Life, A (USA).pdf
Bust-A-Move 2 - Arcade Edition	en	https://archive.org/download/bust-a-move-2-arcade-edition-199/Bust-A-Move-2-Arcade-Edition-199.pdf
Bust-A-Move 3 DX	en	https://archive.org/download/bust-a-move-99-1999-u/Bust-A-Move-99-1999U.pdf
California Speed	en	https://archive.org/download/Nintendo64GameManuals/CaliforniaSpeedu.pdf
Carmageddon 64	en	https://archive.org/download/carmageddon-64-2000-ucolor/Carmageddon-64-2000Ucolor.pdf
Castlevania	en	https://archive.org/download/Nintendo64GameManuals/Castlevaniau.pdf
Castlevania - Legacy of Darkness	en	https://archive.org/download/Nintendo64GameManuals/Castlevania-LegacyOfDarknessu.pdf
Chameleon Twist	en	https://archive.org/download/Nintendo64Manuals_201812/Chameleon Twist (USA).pdf
Chameleon Twist 2	en	https://archive.org/download/chameleon-twist-2-1999-ucolor/Chameleon-Twist-2-1999Ucolor.pdf
Charlie Blast's Territory	en	https://archive.org/download/charlie-blasts-territory-1999-uco/Charlie-Blasts-Territory-1999Uco.pdf
Chopper Attack	en	https://archive.org/download/Nintendo64Manuals_201812/Chopper Attack (USA).pdf
Clay Fighter - Sculptor's Cut	en	https://archive.org/download/clay-fighter-sculptors-cut-1998-u/Clay-Fighter-Sculptors-Cut-1998U.pdf
Clay Fighter 63 1-3	en	https://archive.org/download/Nintendo64Manuals_201812/Clay Fighter 63 1-3 (USA).pdf
Command & Conquer	en	https://archive.org/download/Nintendo64GameManuals/CommandConquerusa.pdf
Conker's Bad Fur Day	en	https://archive.org/download/Nintendo64GameManuals/ConkersBadFurDayu.pdf
Cruis'n Exotica	en	https://archive.org/download/cruisn-exotica-2000-ucolor/Cruisn-Exotica-2000Ucolor.pdf
Cruis'n USA	en	https://archive.org/download/Nintendo64GameManuals/CruisnUsau.pdf
Cruis'n World	en	https://archive.org/download/cruisn-world-n-64-english/Cruis'n World (N64) [English].pdf
