007 - Quantum of Solace	en	https://archive.org/download/NintendoDSManuals/007-QuantumOfSolaceusaenfr.pdf
100 Classic Book Collection	en-gb,fr	https://www.nintendo.com/consumer/gameslist/manuals/DS_100_classic.pdf
4 Game Pack! - Battleship + Connect Four + Sorry! + Trouble	en	https://archive.org/download/NintendoDSManuals/4GamePack-BattleshipConnectFourSorryTroubleusa.pdf
4 Game Pack! - Clue + Aggravation + Perfection + Mouse Trap	en	https://archive.org/download/NintendoDSManuals/4GamePack-ClueAggravationPerfectionMouseTrapusa.pdf
42 All-Time Classics	en	https://www.nintendo.com/consumer/gameslist/manuals/DS_Club_House_Games.pdf
Actionloop	en	https://www.nintendo.com/consumer/gameslist/manuals/DS_Magnetica.pdf
Actua Pool	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Underground Pool (U).pdf
Advance Wars - Dark Conflict	en	https://www.nintendo.com/consumer/gameslist/manuals/DS_Advance_Wars_DoR.pdf
Advance Wars - Dual Strike	en	https://cdn02.nintendo-europe.com/media/downloads/games_8/emanuals/nintendo_ds_21/Manual_NintendoDS_AdvanceWarsDuelStrike_EN.pdf
Amazing Adventures - The Forgotten Ruins	en	https://archive.org/download/amazing-adventures-the-forgotten-ruins/Amazing%20Adventures%20-%20The%20Forgotten%20Ruins.pdf
America's Test Kitchen - Let's Get Cooking	en	https://www.nintendo.com/consumer/gameslist/manuals/DS_Amer_Test_Kitchen.pdf
American Dragon - Jake Long	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/American Dragon - Jake Long - Attack of the Dark Dragon (U).pdf
An M. Night Shyamalan Film - The Last Airbender	en	https://archive.org/download/NintendoDSManuals/Avatar-TheLastAirbender-TheBurningEarthusa.pdf
Another Code - Two Memories	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Trace Memory (U).pdf
Ant Nation	en-gb,es,fr	https://archive.org/download/NintendoDSManuals/AntNationusaenfres.pdf
Art Academy	en-gb,fr	https://www.nintendo.com/consumer/gameslist/manuals/DS_Art_Academy.pdf
Asphalt - Urban GT	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Asphalt Urban GT (U).pdf
ATV Quad Frenzy	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals%20-%20Nintendo%20DS/ATV%20Quad%20Frenzy%20%28U%29.pdf
B-17 - Fortress in the Sky	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/B-17 - Fortress in the Sky (U).pdf
Baby Pals	en	https://archive.org/download/NintendoDSManuals/BabyPalsusa.pdf
Backyard Basketball	en	https://archive.org/download/NintendoDSManuals/BackyardBasketballusa.pdf
Backyard Football	en	https://archive.org/download/NintendoDSManuals/BackyardFootballusa.pdf
Backyard Football '09	en	https://archive.org/download/NintendoDSManuals/BackyardFootball09usab.pdf
Backyard Hockey	en	https://archive.org/download/NintendoDSManuals/BackyardHockeyusa.pdf
Bee Movie Game	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Bee Movie Game (U).pdf
Big Brain Academy	en	https://www.nintendo.com/consumer/gameslist/manuals/DS_Big_Brain_Academy.pdf
Bionicle Heroes	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Bionicle Heroes (U).pdf
Bomberman	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Bomberman (U).pdf
Bomberman Land Touch!	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Bomberman Land Touch (U).pdf
Build-a-Lot	en	https://archive.org/download/NintendoDSManuals/Build-a-lotusa.pdf
Burnout Legends	en-gb,fr	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Burnout Legends (U).pdf
Bust-A-Move DS	en	https://archive.org/download/NintendoDSManuals/Bust-a-moveDsusa.pdf
Call of Duty - Modern Warfare - Mobilized	en	https://archive.org/download/NintendoDSManuals/CallOfDuty-ModernWarfare-Mobilizedusa.pdf
Call of Duty - World at War	en	https://archive.org/download/NintendoDSManuals/CallOfDuty-WorldAtWarusa.pdf
Call of Duty 4 - Modern Warfare	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Call of Duty 4 (U).pdf
Cars 2	en	https://archive.org/download/NintendoDSManuals/Cars2usaenfresndsiEnhancedb.pdf
Castlevania - Dawn of Sorrow	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Castlevania - Dawn of Sorrow (U).pdf
Castlevania - Portrait of Ruin	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Castlevania - Portrait of Ruin (U).pdf
Chaotic - Shadow Warriors	en	https://archive.org/download/NintendoDSManuals/Chaotic-ShadowWarriorsusaenfrb.pdf
Charlotte's Web	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Charlottes Web (U).pdf
Chicken Little - Ace in Action	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Chicken Little - Ace in Action (U).pdf
Children of Mana	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Children of Mana (U).pdf
Chronicles of Mystery - Curse of the Ancient Temple	en	https://archive.org/download/NintendoDSManuals/ChroniclesOfMystery-CurseOfTheAncientTempleusaenfresb.pdf
Chronicles of Mystery - Curse of the Ancient Temple	en-gb,fr	https://archive.org/download/mystery-quest-curse-of-the-ancient-spirits/Mystery%20Quest%20-%20Curse%20of%20the%20Ancient%20Spirits.pdf
Chrono Trigger	en	https://archive.org/download/NintendoDSManuals/ChronoTriggerusaenfr.pdf
Club Penguin - Elite Penguin Force	en	https://archive.org/download/manualzz-id-740702/740702.pdf
Clueless Fashion	en	https://archive.org/download/clueless-fashion-manual-text-english-r-5/Clueless%20Fashion%20Manual%20Text%20-%20English%20r5.pdf
Contact	ja	https://archive.org/download/contact-manual-scan-jp-nintendo-ds-ds-nds/Contact%20%28Manual%29%28Scan%29%28JP%29%28Nintendo%20DS%29%28DS%29%28NDS%29.pdf
Cookies & Cream	en	https://archive.org/compress/cookieandcreamds/formats=PNG&file=/cookieandcreamds.zip
Cooking Guide - Can't Decide What to Eat	en	https://www.nintendo.com/consumer/gameslist/manuals/DS_Personal_Trainer_Cooking.pdf
Cooking Guide - Can't Decide What to Eat	fr	https://www.nintendo.com/consumer/gameslist/manuals/DS_Personal_Trainer_CookingFR.pdf
Cooking Mama 3	en	https://archive.org/download/NintendoDSManuals/CookingMama3-ShopChopusab.pdf
Crash - Mind over Mutant	en	https://archive.org/download/NintendoDSManuals/Crash-MindOverMutantusaenfrdeesitnlb.pdf
Crash Boom Bang!	en	https://archive.org/download/NintendoDSManuals/CrashBoomBangusa.pdf
Croods, The - Prehistoric Party!	en-gb,fr	https://archive.org/download/NintendoDSManuals/CroodsThe-PrehistoricPartyusaenfres.pdf
CrossworDS	en-gb,fr	https://www.nintendo.com/consumer/gameslist/manuals/DS_Crosswords_DS.pdf
Crystal Mines	en	https://archive.org/download/NintendoDSManuals/CrystalMineseuropeenfrdeesit.pdf
Dead'n'Furious	en	https://the-eye.eu/public/Books/retrowith.in/Manuals/Manuals - Nintendo DS/Touch the Dead (U).pdf
Deep Labyrinth	en	https://archive.org/download/NintendoDSManuals/DeepLabyrinthusa.pdf
Dementium - The Ward	en	https://archive.org/download/NintendoDSManuals/Dementium-TheWardusa.pdf
Dementium II	en	https://archive.org/download/NintendoDSManuals/DementiumIiusaenfrdeesit.pdf
Diddy Kong Racing DS	en-gb,fr	https://www.nintendo.com/consumer/gameslist/manuals/DS_Diddy_Kong_Racing.pdf
