'Nam 1965-1975	en-gb,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/'Nam 1965-1975 (1991).pdf
+K	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/+K (1996).txt
007 - Licence to Kill	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/007 - Licence to Kill (1989).pdf
1 Ton	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/1 Ton (1996).TXT
1000 Miglia	it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/1000 Miglia - Manual-IT.pdf
1000 Miler	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/1000 Miler (1987).TXT
10th Frame	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/10th Frame (1987).pdf
11th Hour, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/11th Hour, The (1995).pdf
123-Talk	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/123-Talk (1993).TXT
1830 Railroads and Robber Barons	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/1830 Railroads and Robber Barons (1995).pdf
1869	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/1869 (1992).pdf
1942 The Pacific Air War	en	https://www.gamesdatabase.org/Media/SYSTEM/Microsoft_DOS/Manual/formated/1942_The_Pacific_Air_War.pdf
20,000 Leagues Under the Sea	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/20,000 Leagues Under the Sea (1988).pdf
221B Baker Street	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/221B Baker Street (1987).pdf
2400 AD	en	https://www.gamesdatabase.org/Media/SYSTEM/Microsoft_DOS/Manual/formated/2400_AD.pdf
2x2	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/2x2 (1995).TXT
3 Point Basketball	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3 Point Basketball (1993).txt
3 Skulls of the Toltecs	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3 Skulls of the Toltecs (1996).pdf
3-D TableSports	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3-D TableSports (1996).pdf
3-Demon	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3-Demon (1983).txt
3D Bomber	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3D Bomber (1998).TXT
3D Hamster's Adventure	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3D Hamster's Adventure (1996).TXT
3D Pinball	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3D Pinball (1992).pdf
3D Trek	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3D Trek (1992).txt
3DCube	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3DCube (1994).TXT
3Detris	ru	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3Detris (1994).DOC
3DWorld	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/3DWorld (1994).txt
4 Soccer Simulators	en-gb,de,es,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/4 Soccer Simulators (1988).pdf
4-D Boxing	en-gb,de,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/4-D Boxing (1991).pdf
40080	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/40080 (1995).TXT
4K Adventure	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/4K Adventure (1995).TXT
4th and Inches	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/4th and Inches (1988).pdf
4x4 Off-Road Racing	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/4x4 Off-Road Racing (1988).pdf
50 Mission Crush	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/50 Mission Crush (1984).pdf
5th Fleet, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/5th Fleet, The (1994).pdf
5X	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/5X (2000).TXT
688 Attack Sub	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/688 Attack Sub (1989).pdf
7 Colors	fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/7 Colors (1991).pdf
747-400 Precision Simulator	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/747-400 Precision Simulator (2000).pdf
7th Guest, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/7th Guest, The (1993).pdf
A Clue's Solution	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A Clue's Solution (1993).txt
A Question of Sport	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A Question of Sport (1988).pdf
A-10 Tank Killer	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A-10 Tank Killer (1989).pdf
A-Train	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A-Train (1992).pdf
A-Train	fr	http://lucasabandonware.free.fr/manuels/A-Train.zip	filter=*Manuel*
A.G.E.	en-gb,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A.G.E. (1991).pdf
A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game (1998).TXT
A320 Airbus (Edition Europa) (1992)	en-gb,de	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A320 Airbus (Edition Europa) (1992).doc
A320 Airbus (Edition USA) (1993)	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A320 Airbus (Edition USA) (1993).doc
AAARGH!	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/AAARGH! (1988).pdf
