Addams Family, The	en	http://www.tg-16.com/contributors/bernie/Addams_Family/Addams_Family.pdf
Aero Blasters	en	https://archive.org/download/NECTurboGrafx-16Manuals/Aero Blasters (USA).pdf
Air Zonk	en	https://archive.org/download/NECTurboGrafx-16Manuals/Air Zonk (USA).pdf
Alien Crush	en	https://archive.org/download/NECTurboGrafx-16Manuals/Alien Crush (USA).pdf
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu	ja	https://archive.org/download/AlnamNoKibaManualJPPCEngine/Alnam no Kiba (Manual)(JP)(PC Engine).pdf
Andre Panza Kick Boxing	en	https://archive.org/download/NECTurboGrafx-16Manuals/Panza Kick Boxing (USA).pdf
Battle Lode Runner	ja	https://archive.org/compress/manual-01/formats=JPEG&file=/manual-01.zip	filter=manual*
Battle Royale	en	https://archive.org/download/NECTurboGrafx-16Manuals/Battle Royale (USA).pdf
Beyond Shadowgate	en	http://www.tg-16.com/contributors/bernie/Beyond_Shadowgate/Beyond_Shadowgate.pdf
Blazing Lazers	en	https://archive.org/download/NECTurboGrafx-16Manuals/Blazing Lazers (USA).pdf
Bloody Wolf	en	http://www.tg-16.com/contributors/bernie/Bloody_Wolf/Bloody_Wolf.pdf
Bomberman	en	https://archive.org/download/NECTurboGrafx-16Manuals/Bomberman (USA).pdf
Bomberman '93	en	http://www.tg-16.com/contributors/bernie/Bomberman_93/Bomberman_93.pdf
Bonk 3 - Bonk's Big Adventure	en	http://www.tg-16.com/contributors/bernie/Bonk_3/Bonk_3_HuCARD.pdf
Bonk's Adventure	en	https://archive.org/download/NECTurboGrafx-16Manuals/Bonk's Adventure (USA).pdf
Bonk's Revenge	en	https://archive.org/download/NECTurboGrafx-16Manuals/Bonk's Revenge (USA).pdf
Boxyboy	en	https://archive.org/download/NECTurboGrafx-16Manuals/Boxyboy (USA).pdf
Bravoman	en	https://archive.org/download/NECTurboGrafx-16Manuals/Bravoman (USA).pdf
Burai - Yatsudama no Yuushi Densetsu	ja	https://archive.org/download/BuraiManualJPPCEngine/Burai (Manual)(JP)(PC Engine).pdf
Burai II - Yami Koutei no Gyakushuu	ja	https://archive.org/download/Burai2ManualJPPCEngine/Burai 2 (Manual)(JP)(PC Engine).pdf
Buster Bros.	en	http://www.tg-16.com/contributors/bernie/Buster_Bros/Buster_Bros.pdf
Cadash	en	http://www.tg-16.com/contributors/bernie/Cadash/Cadash.pdf
Champions Forever Boxing	en	http://www.tg-16.com/contributors/bernie/Champions_Forever_Boxing/Champions_Forever_Boxing.pdf
Chase H.Q.	en	https://archive.org/download/NECTurboGrafx-16Manuals/Taito Chase H.Q. (USA).pdf
Chew-Man-Fu	en	http://www.tg-16.com/contributors/bernie/Chew_Man_Fu/Chew_Man_Fu.pdf
China Warrior	en	https://archive.org/download/NECTurboGrafx-16Manuals/China Warrior (USA).pdf
Cosmic Fantasy - Bouken Shounen Yuu	ja	https://archive.org/download/CosmicFantasyManualJPPCEngine/Cosmic Fantasy (Manual)(JP)(PC Engine).pdf
Cosmic Fantasy 2	en	http://www.tg-16.com/contributors/bernie/Cosmic_Fantasy_2/Cosmic_Fantasy_2.pdf
Cratermaze	en	http://www.tg-16.com/contributors/bernie/Cratermaze/Cratermaze.pdf
Cyber Core	en	http://www.tg-16.com/contributors/bernie/Cyber_Core/Cyber_Core.pdf
Darkwing Duck	en	https://archive.org/download/NECTurboGrafx-16Manuals/Darkwing Duck (USA).pdf
Davis Cup Tennis	en	https://archive.org/download/NECTurboGrafx-16Manuals/Davis Cup Tennis (USA).pdf
Deep Blue	en	http://www.tg-16.com/contributors/bernie/Double_Dungeons/Double_Dungeons.pdf
Devil's Crush	en	https://archive.org/download/NECTurboGrafx-16Manuals/Devil's Crush - Naxat Pinball (USA).pdf
Dragon Slayer - The Legend of Heroes	en	http://www.tg-16.com/contributors/bernie/Dragon_Slayer/Dragon_Slayer.pdf
Dragon Spirit	en	https://archive.org/download/NECTurboGrafx-16Manuals/Dragon Spirit (USA).pdf
Dragon's Curse	en	https://archive.org/download/NECTurboGrafx-16Manuals/Dragon's Curse (USA).pdf
Drop Off	en	http://www.tg-16.com/contributors/bernie/Drop_Off/Drop_Off.pdf
Dungeon Explorer	en	https://archive.org/download/NECTurboGrafx-16Manuals/Dungeon Explorer (USA).pdf
Dungeon Explorer II	en	http://www.tg-16.com/contributors/bernie/Dungeon_Explorer_II/Dungeon_Explorer_II.pdf
Dungeon Master - Theron's Quest	en	http://www.tg-16.com/contributors/bernie/Dungeon_Master/Dungeon_Master.pdf
Dungeons & Dragons - Order of the Griffon	en	https://archive.org/download/NECTurboGrafx-16Manuals/Order of the Griffon (USA).pdf
Efera & Jiliora - The Emblem from Darkness	ja	https://archive.org/download/EferaJilioraManualJPPCEngine/Efera and Jiliora (Manual)(JP)(PC Engine).pdf
Emerald Dragon	ja	https://archive.org/download/emeralddragonguidebook/Emerald Dragon Guide Book.pdf
Exile	en	http://www.tg-16.com/contributors/arjak/Exile/Exile.pdf
Falcon	en	https://archive.org/download/NECTurboGrafx-16Manuals/Falcon (USA).pdf
Fantasy Zone	en	https://archive.org/download/NECTurboGrafx-16Manuals/Fantasy Zone (USA).pdf
Far East of Eden - Tengai Makyou - Fuun Kabuki-den	ja	https://archive.org/download/TengaiMakyouFuunKabukiDenManualJPPCEngine/Tengai Makyou Fuun Kabuki Den (Manual)(JP)(PC Engine).pdf
Far East of Eden - Tengai Makyou - Ziria	ja	https://archive.org/download/TengaiMakyouZiriaManualJPPCEngine/Tengai Makyou (Manual)(JP)(PC Engine).pdf
Far East of Eden - Tengai Makyou II - Manji Maru	ja	https://archive.org/download/TengaiMakyou2ManualJPPCEngine/Tengai Makyou 2 (Manual)(JP)(PC Engine).pdf
Farjius no Jakoutei - Neo Metal Fantasy	ja	https://archive.org/download/FarjiusNoJakouteiManualJPPCEngine/Farjius no Jakoutei (Manual)(JP)(PC Engine).pdf
Final Lap Twin	en	https://archive.org/download/NECTurboGrafx-16Manuals/Final Lap Twin (USA).pdf
Forgotten Worlds	en	http://www.tg-16.com/contributors/bernie/Forgotten_Worlds/Forgotten_Worlds.pdf
Galaga '90	en	https://archive.org/download/NECTurboGrafx-16Manuals/Galaga '90 (USA).pdf
Gate of Thunder + Bonk's Adventure + Bonk's Revenge	en	http://www.tg-16.com/contributors/bernie/Gate_of_Thunder/Gate_of_Thunder.pdf
Ghost Manor	en	http://www.tg-16.com/contributors/bernie/Ghost_Manor/Ghost_Manor.pdf
Ginga Ojousama Densetsu Yuna	ja	https://archive.org/download/GingaOjousamaDensetsuYunaManualJPPCEngine/Ginga Ojousama Densetsu Yuna (Manual)(JP)(PC Engine).pdf
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess	ja	https://archive.org/download/GingaOjousamaDensetsuYuna2ManualJPPCEngine/Ginga Ojousama Densetsu Yuna 2 (Manual)(JP)(PC Engine).pdf
Hatsukoi Monogatari	ja	https://archive.org/download/hatsukoi-monogatari-manual-scan-jp-pcengine/Hatsukoi Monogatari (Manual)(Scan)(JP)(PC Engine).pdf
J. B. Harold Murder Club	en	http://www.tg-16.com/contributors/arjak/JB_Harold/JB_Harold.pdf
J.J. & Jeff	en	https://archive.org/download/NECTurboGrafx-16Manuals/J.J. & Jeff (USA).pdf
Jack Nicklaus Turbo Golf	en	http://www.tg-16.com/contributors/bernie/Jack_Nicklaus_Turbo_Golf/Jack_Nicklaus_Turbo_Golf.pdf
Jack Nicklaus' Turbo Golf	en	https://archive.org/download/NECTurboGrafx-16Manuals/Jack Nicklaus' Turbo Golf (USA).pdf
Jackie Chan's Action Kung Fu	en	http://www.tg-16.com/contributors/bernie/Jackie_Chan/Jackie_Chan.pdf
Kaze no Densetsu Xanadu	ja	https://archive.org/download/KazeNoDensetsuXanaduPCEngineJPManuals/KazeNoDensetsuXanadumanualjppcEngine.pdf
Keith Courage in Alpha Zones	en	https://archive.org/download/NECTurboGrafx-16Manuals/Keith Courage in Alpha Zones (USA).pdf
King of Casino	en	https://archive.org/download/NECTurboGrafx-16Manuals/King of Casino (USA).pdf
Kisou Louga	ja	https://archive.org/download/KisouLougaManualJPPCEngine/Kisou Louga (Manual)(JP)(PC Engine).pdf
Klax	en	https://archive.org/download/NECTurboGrafx-16Manuals/Klax (USA).pdf
Langrisser - Hikari no Matsuei	ja	https://archive.org/download/LangrisserManualScanJPPCEngine/Langrisser (Manual)(Scan)(JP)(PC Engine).pdf
Last Alert	en	http://www.tg-16.com/contributors/bernie/Last_Alert/Last_Alert.pdf
Legend of Hero Tonma	ja	https://archive.org/download/NECPCEngineManuals/Legend of Hero Tonma (Japan).pdf
Legend of Xanadu - Kaze no Densetsu Xanadu	ja	https://archive.org/download/legendofxanaduthepcenginehiresscans/Legend of Xanadu, The - Manual (Searchable).pdf
Legend of Xanadu - Kaze no Densetsu Xanadu II	ja	https://archive.org/download/KazeNoDensetsuXanadu2PCEngineJPManuals/KazenoDensetsuXanadu2ManualJPPcEngine.pdf
Legendary Axe II	en	https://archive.org/download/NECTurboGrafx-16Manuals/Legendary Axe II, The (USA).pdf
Lords of Thunder	en	http://www.tg-16.com/contributors/bernie/Lords_of_Thunder/Lords_of_Thunder.pdf
Megami Paradise	ja	https://archive.org/download/MegamiParadiseManualJPPCEngine/Megami Paradise (Manual)(JP)(PC Engine).pdf
Might and Magic III - Isles of Terra	en	http://www.tg-16.com/contributors/bernie/Might_and_Magic_III/Might_and_Magic_III.pdf
Monster Lair	en	http://www.tg-16.com/contributors/bernie/Monster_Lair/Monster_Lair.pdf
Moonlight Lady	ja	https://archive.org/download/MoonlightLadyPCEngineJPManuals/Moonlight Lady (Manual)(JP)(PC Engine).pdf
Moto Roader	en	https://archive.org/download/NECTurboGrafx-16Manuals/Moto Roader (USA).pdf
Neutopia	en	https://archive.org/download/NECTurboGrafx-16Manuals/Neutopia (USA).pdf
Neutopia II	en	http://www.tg-16.com/contributors/bernie/Neutopia_II/Neutopia_II.pdf
New Adventure Island	en	https://archive.org/download/NECTurboGrafx-16Manuals/New Adventure Island (USA).pdf
Night Creatures	en	http://www.tg-16.com/contributors/bernie/Night_Creatures/Night_Creatures.pdf
Ninja Warriors, The	ja	https://archive.org/download/NECPCEngineManuals/Ninja Warriors, The (Japan).pdf
Ordyne	en	http://www.tg-16.com/contributors/bernie/Ordyne/Ordyne.pdf
Pachio-kun - Maboroshi no Densetsu	ja	https://archive.org/download/PachiokunMaboroshinoDensetsuPCEngineCJCD1001NTSCJ/000_Pachio-kun_Maboroshi_no_Densetsu_PC_Engine_CJCD1001_NTSC-J_manual_01_preview.jpg	filter=*manual*
Parasol Stars - The Story of Bubble Bobble III	en	http://www.tg-16.com/contributors/bernie/Parasol_Stars/Parasol_Stars.pdf
PC Denjin - Punkic Cyborgs	ja	https://archive.org/download/NECPCEngineManuals/PC Denjin - Punkic Cyborgs (Japan).pdf
Power Golf	en	https://archive.org/download/NECTurboGrafx-16Manuals/Power Golf (USA).pdf
Private Eye dol	ja	https://archive.org/download/PrivateEyedolManualJPPCEngine/Private Eyedol (Manual)(JP)(PC Engine).pdf
Psychic Detective Series Vol. 3 - Aya	ja	https://archive.org/download/AYAPsychicDetectiveSeriesVol.3ManualJPPCEngine/AYA Psychic Detective Series Vol.3 (Manual)(JP)(PC Engine).pdf
R-Type	en	http://www.tg-16.com/contributors/bernie/R_Type/R_Type.pdf
Raiden	en	http://www.tg-16.com/contributors/bernie/Raiden/Raiden.pdf
Record of Lodoss War	ja	https://archive.org/download/LodossTouSenkiManualJPPCEngine/Lodoss Tou Senki (Manual)(JP)(PC Engine).pdf
Record of Lodoss War II	ja	https://archive.org/download/LodossTouSenki2ManualJPPCEngine/Lodoss Tou Senki 2 (Manual)(JP)(PC Engine).pdf
Samurai-Ghost	en	http://www.tg-16.com/contributors/bernie/Samurai_Ghost/Samurai_Ghost.pdf
Shape Shifter	en	http://www.tg-16.com/contributors/arjak/Shape_Shifter/Shape_Shifter.pdf
Sherlock Holmes - Consulting Detective	en	http://www.tg-16.com/contributors/bernie/Sherlock_Holmes/Sherlock_Holmes.pdf
Sherlock Holmes - Consulting Detective	ja	https://archive.org/download/SherlockHolmesNoTanteiKouzaManualJPPCEngine/Sherlock Holmes no Tantei Kouza (Manual)(JP)(PC Engine).pdf
Sherlock Holmes - Consulting Detective - Volume 2	en	http://www.tg-16.com/contributors/bernie/Sherlock_Holmes_2/Sherlock_Holmes_2.pdf
Sherlock Holmes - Consulting Detective - Volume 2	ja	https://archive.org/download/SherlockHolmesNoTanteiKouza2ManualJPPCEngine/Sherlock Holmes no Tantei Kouza 2 (Manual)(JP)(PC Engine).pdf
Shockman	en	https://archive.org/download/NECTurboGrafx-16Manuals/Shockman (USA).pdf
SideArms	en	https://archive.org/download/NECTurboGrafx-16Manuals/SideArms - Hyper Dyne (USA).pdf
Silent Debuggers	en	https://archive.org/download/NECTurboGrafx-16Manuals/Silent Debuggers (USA).pdf
SimEarth - The Living Planet	en	http://www.tg-16.com/contributors/bernie/Sim_Earth/Sim_Earth.pdf
Soldier Blade	en	http://www.tg-16.com/contributors/bernie/Soldier_Blade/Soldier_Blade.pdf
Sonic Spike - World Championship Beach Volleyball	en	https://archive.org/download/NECTurboGrafx-16Manuals/Sonic Spike - World Championship Beach Volleyball (USA).pdf
Sotsugyou - Graduation	ja	https://archive.org/download/SotsugyouGraduationManualJPPCEngine/Sotsugyou Graduation (Manual)(JP)(PC Engine).pdf
Splash Lake	en	http://www.tg-16.com/contributors/arjak/Splash_Lake/Splash_Lake.pdf
Splatterhouse	en	https://archive.org/download/NECTurboGrafx-16Manuals/Splatterhouse (USA).pdf
Super Daisenryaku	ja	https://archive.org/download/SuperDaisenryakuHandBook/Super Daisenryaku Hand Book.pdf
Super Schwarzschild	ja	https://archive.org/download/SchwarzschildWorldTechnicalFile/Schwarzschild World %26 Technical File.pdf
Super Star Soldier	en	http://www.tg-16.com/contributors/bernie/Super_Star_Soldier/Super_Star_Soldier.pdf
Takin' It to the Hoop	en	https://archive.org/download/NECTurboGrafx-16Manuals/Takin' It to the Hoop (USA).pdf
Time Cruise	en	https://archive.org/download/time_cruise_manual/time cruise manual.pdf
Tokimeki Memorial	ja	https://archive.org/download/TokimekiMemorialManualJPPCEngine/Tokimeki Memorial (Manual)(JP)(PC Engine).pdf
Turrican	en	https://archive.org/download/NECTurboGrafx-16Manuals/Turrican (USA).pdf
TV Sports Football	en	https://archive.org/download/NECTurboGrafx-16Manuals/TV Sports Football (USA).pdf
TV Sports Hockey	en	https://archive.org/download/NECTurboGrafx-16Manuals/TV Sports Hockey (USA).pdf
Vasteel	en	http://www.tg-16.com/contributors/bernie/Vasteel/Vasteel.pdf
Veigues - Tactical Gladiator	en	https://archive.org/download/NECTurboGrafx-16Manuals/Veigues - Tactical Gladiator (USA).pdf
Victory Run	en	https://archive.org/download/NECTurboGrafx-16Manuals/Victory Run (USA).pdf
Vigilante	en	https://archive.org/download/NECTurboGrafx-16Manuals/Vigilante (USA).pdf
Where in the World Is Carmen Sandiego	ja	https://archive.org/download/CarmenSandiegoWoOeSekaiHenManualJPPCEngine/Carmen Sandiego wo Oe Sekai Hen (Manual)(JP)(PC Engine).pdf
World Class Baseball	en	https://archive.org/download/NECTurboGrafx-16Manuals/World Class Baseball (USA).pdf
World Court Tennis	en	https://archive.org/download/NECTurboGrafx-16Manuals/World Court Tennis (USA).pdf
Ys Book I & II	en	http://www.tg-16.com/contributors/arjak/Ys_Book_I_II/Ys_Book_I_II.pdf
Ys III - Wanderers from Ys	en	http://www.tg-16.com/contributors/arjak/Ys_III/Ys_III.pdf
Ys IV - The Dawn of Ys	ja	https://archive.org/download/ysivthedawnofyspcenginehirescans/Ys IV - The Dawn of Ys (Searchable).pdf
