1000 Tiny Claws	en	https://archive.org/download/PSP-instruction-manuals-and-document-dat/1000 Tiny Claws NPEZ00401.pdf
101 in 1 Megamix	en-gb,de,es,fr,it,nl,ru	https://archive.org/download/PSP-instruction-manuals-and-document-dat/101-in-1 Megamix NPEH00068.pdf
2010 FIFA World Cup South Africa	en	https://archive.org/download/SonyPSPManualsv1.2/2010 FIFA World Cup - South Africa (EUR).pdf
3rd Birthday, The	en	https://archive.org/download/SonyPSPManuals/3rd Birthday, The (USA).pdf
Ace Combat - Joint Assault	en-gb,de,es,fi,fr,it,pt,sv	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Ace Combat Joint Assault ULES01408.pdf
Ace Combat X - Skies of Deception	en	https://archive.org/download/SonyPSPManuals/Ace Combat X - Skies of Deception (USA).pdf
Activision Hits Remixed	en	https://archive.org/download/SonyPSPManualsv1.2/Activision Hits Remixed ULUS10186.pdf
Aedis Eclipse - Generation of Chaos	en-gb,de,es,fr,it	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Aedis Eclipse Generation of Chaos NPEH00106.pdf
AFL Challenge	en	https://archive.org/download/PSP-instruction-manuals-and-document-dat/AFL Challenge NPEH00022.pdf
After Burner - Black Falcon	en	https://archive.org/download/SonyPSPManuals/After Burner - Black Falcon (USA).pdf
Angry Birds	en	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Angry Birds NPEZ00232.pdf
Ape Academy	en-gb,de,es,fr,it	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Ape Academy UCES00010.pdf
Ape Academy 2	en-gb,de,es,fr	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Ape Academy 2 UCES00302.pdf
Ape Escape	en-gb,de,es,fr	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Ape Escape P UCES00045.pdf
Ape Quest	en	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Ape Quest NPEG00005.pdf
Aquattack!	en	https://archive.org/download/PSP-instruction-manuals-and-document-dat/Aquattack NPEZ00202.pdf
