007 - Tomorrow Never Dies	en	https://archive.org/download/SonyPlaystationManuals/007 - Tomorrow Never Dies (USA).pdf
007 Racing	de	https://psxdatacenter.com/manuals/007 Racing (Platinum) [SLES-03357] (G).cbr
007 Racing	en	https://psxdatacenter.com/manuals/007 Racing [SLUS-01300] (E).cbr
10101 - Will the Starship	ja	https://archive.org/download/10101willthestarshipmanualscanjpplaystationpsx/10101%20Will%20the%20Starship%20%28Manual%29%28Scan%29%28JP%29%28PlayStation%29%28PSX%29.pdf
3D Lemmings	en	https://archive.org/download/3d_lemmings_english/3d_lemmings_english.pdf
3Xtreme	en	https://archive.org/download/3xtreme_english/3xtreme_english.pdf
40 Winks	en	https://archive.org/download/40-winks-manuale/40 Winks - Manuale.pdf
4x4 World Trophy	en	https://archive.org/download/test_drive_off_road_3_english/test_drive_off_road_3_english.pdf
70's Robot Anime - Geppy-X	ja	https://psxdatacenter.com/manuals/70's Robot Anime - Geppy-X (J) [SLPS-01995-8].cbr
A.IV - Evolution Global	en	https://archive.org/download/SonyPlaystationManuals/A-Train - Trains, Power, Money (USA).pdf
Ace Combat 2	en	https://archive.org/download/ace_combat_2_english/ace_combat_2_english.pdf
Ace Combat 2	ja	https://archive.org/download/AceCombat2ManualJPPlayStationPSX/Ace Combat 2 (Manual)(JP)(PlayStation)(PSX).pdf
Ace Combat 3 - Electrosphere	en	https://archive.org/download/ace_combat_3_electrosphere_english/ace_combat_3_electrosphere_english.pdf
Ace Combat 3 - Electrosphere	ja	https://archive.org/download/AceCombat3ManualJPPlayStationPSX/Ace Combat 3 (Manual)(JP)(PlayStation)(PSX).pdf
Aconcagua	ja	https://psxdatacenter.com/manuals/Aconcagua (J) [SCPS-10131-2].cbr
Action Bass	en	https://archive.org/download/SonyPlaystationManuals/Action Bass (USA).pdf
Actua Golf 2	en	https://archive.org/download/fox_sports_golf_99_english/fox_sports_golf_99_english.pdf
Actua Golf 2	en-gb	https://archive.org/download/actua_golf_2_english/actua_golf_2_english.pdf
Actua Pool	en	https://archive.org/download/SonyPlaystationManuals/Ultimate 8 Ball (USA).pdf
Actua Soccer 3	en	http://files.replacementdocs.com/Actua_Soccer_3_-_UK_Manual_-_PSX.pdf
Addie no Okurimono - To Moze from Addie	ja	https://archive.org/download/addienookurimonomanualscanjpplaystationpsx/Addie no Okurimono (Manual)(Scan)(JP)(PlayStation)(PSX).pdf
Adidas Power Soccer	en	https://archive.org/download/SonyPlaystationManuals/Adidas Power Soccer (USA).pdf
Air Combat	ja	https://archive.org/download/AceCombatManualJPPlayStationPSX/Ace Combat (Manual)(JP)(PlayStation)(PSX).pdf
Air Hockey	en	https://psxdatacenter.com/manuals/Air Hockey (E) [SLUS-01467].cbr
Air Race	en	https://archive.org/download/SonyPlaystationManuals/Bravo Air Race (USA).pdf
Akagawa Jiro - Yasoukyoku	ja	https://archive.org/download/AkagawaJiroYasoukyokuManualJPPlayStationPSX/Akagawa Jirou Yasoukyoku (Manual)(JP)(PlayStation)(PSX).pdf
Akagawa Jiro - Yasoukyoku 2	ja	https://archive.org/download/AkagawaJiroYasoukyoku2ManualJPPlayStationPSX/Akagawa Jiro Yasoukyoku 2 (Manual)(JP)(PlayStation)(PSX).pdf
Albaria no Otome - Uruwashi no Seikishitachi	ja	https://archive.org/download/AlbareanoOtomeManualJPPlayStationPSX/Arubarea no Otome (Manual)(JP)(PlayStation)(PSX).pdf
Alien Resurrection	it	https://archive.org/download/alien-la-clonazione-manuale/Alien la clonazione - Manuale.pdf
Alien Trilogy	en	https://archive.org/download/alien_trilogy_english/alien_trilogy_english.pdf
All Star Racing	en	https://archive.org/download/SonyPlaystationManuals/All Star Racing (USA).pdf
Allied General	en	https://archive.org/download/SonyPlaystationManuals/Allied General (USA).pdf
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu	ja	https://archive.org/download/AlnamNoKibaManualJPPlayStationPSX/Alnam no Kiba (Manual)(JP)(PlayStation)(PSX).pdf
