2do Aru Koto wa Sando R	0
2Tax Gold	0
3D Baseball	0
3D Baseball - The Majors	3
3D Lemmings	3
3D Mission Shooting - Finalist	0
3x3 Eyes - Kyuusei Koushu S	3
6 Inch My Darling	0
Actua Golf	0
Actua Soccer	0
Actua Soccer - Club Edition	3
Advanced V.G.	5
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium	2
AI Igo	0
Ai Iijima Interactive Video Clip - Good Island Cafe	0
Air Management '96	0
Airs Adventure	0
AI Shougi	0
AI Shougi 2	0
Akumajou Dracula X - Gekka no Yasoukyoku	3
Albert Odyssey Gaiden - Legend of Eldean	3
Albert Odyssey - Legend of Eldean	3
Album Club	0
Alien Trilogy	4
All-Star Baseball '97 Featuring Frank Thomas	4
Alone in the Dark 2	3
Alone in the Dark - Jack Is Back	1
Alone in the Dark - One-Eyed Jack's Revenge	0
Amagi Shien	0
America Oudan Ultra Quiz	0
Amok	1
Andretti Racing	4
AnEarth Fantasy Stories - The First Volume	0
Angel Graffiti S - Anata e no Profile	0
Angelique Duet	0
Angelique Special	0
Angelique Special 2	0
Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood	0
Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii	5
Another Memories	0
Aqua-world - Umi Monogatari	0
Aquazone - Desktop Life	0
Aquazone - Desktop Life Option Disc Series 1 - Angel Fish	0
Aquazone - Desktop Life Option Disc Series 2 - Black Molly	0
Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor	0
Aquazone - Desktop Life Option Disc Series 4 - Clown Loach	0
Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose	0
Arcade Gears Vol. 1 - Pu-Li-Ru-La	0
Arcade Gears Vol. 2 - Gun Frontier	2
Arcade Gears Vol. 3 - Wonder 3	0
Arcade Gears Vol. 4 - ImageFight & XMultiply	3
Arcade's Greatest Hits	0
Arcade's Greatest Hits - The Atari Collection 1	0
Arcana Strikes	3
Area 51	3
Arthur to Astaroth no Nazo Makaimura - Incredible Toons	3
Assault Rigs	0
Assault Suit Leynos 2	0
Astal	4
Astra Superstars	3
Asuka 120% Limited - Burning Fest. Limited	5
Athlete Kings	1
Atlantis - The Lost Tales	3
Ayakashi Ninden Kunoichiban Plus	3
Ayrton Senna Personal Talk - Message for the Future	0
Azel - Panzer Dragoon RPG	3
BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou	1
BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei	3
Baku Baku Animal - Sekai Shiiku Gakari Senshuken	1
Baku Baku Animal - World Zookeeper Contest	1
Bakuretsu Hunter	0
Bakuretsu Hunter R	0
Bakushou!! All Yoshimoto Quiz-ou Kettei-sen DX	0
Baldy Land	0
Baroque	1
Baroque Report - CD Data File	0
Bases Loaded '96 - Double Header	0
Batman Forever - The Arcade Game	3
Batsugun	2
Battle Arena Toshinden Remix	4
Battle Arena Toshinden URA - Ultimate Revenge Attack	0
Battle Athletess Daiundoukai	0
Battle Garegga	3
Battle Monsters	5
BattleSport	1
Battle Stations	3
Beach de Riichi!	4
Bedlam	0
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum	0
Big Thanks - Super Keirin - Dream with Keirin 50 Years	0
Bio Hazard	3
