2Tax Gold	ja	https://segaretro.org/images/a/a4/2TaxGold_SS_jp_manual.pdf
3D Baseball	en	https://segaretro.org/images/5/5c/3dbaseball_sat_us_manual.pdf
3D Lemmings	fr	https://segaretro.org/images/5/5d/3D_Lemmings_Sat_EU_Manual.pdf
Airs Adventure	ja	https://segaretro.org/images/b/be/AirsAdventure_Sat_JP_manual.pdf
Akumajou Dracula X - Gekka no Yasoukyoku	ja	https://segaretro.org/images/b/be/Adxgny_sat_jp_manual.PDF
Albert Odyssey - Legend of Eldean	en	https://archive.org/download/SEGASaturnManuals_201812/Albert Odyssey - Legend of Eldean (USA).pdf
Albert Odyssey - Legend of Eldean	ja	https://archive.org/download/albertodysseygaidenmanualscanjpsegasaturn/Albert Odyssey Gaiden (Manual)(Scan)(JP)(Sega Saturn).pdf
Alien Trilogy	en	https://archive.org/download/SEGASaturnManuals_201812/Alien Trilogy (USA).pdf
Alien Trilogy	en-gb,de,es,fr,it	https://archive.org/download/Alien_Trilogy_1996_Acclaim_EU/Alien_Trilogy_1996_Acclaim_EU.pdf
All-Star Baseball '97 Featuring Frank Thomas	en	https://archive.org/download/SEGASaturnManuals_201812/All Star Baseball '97 Featuring Frank Thomas (USA).pdf
Alone in the Dark - One-Eyed Jack's Revenge	en	https://archive.org/download/SEGASaturnManuals_201812/Alone in the Dark - One-Eyed Jack's Revenge (USA).pdf
Amok	en	https://archive.org/download/SEGASaturnManuals_201812/A+M+O+K (USA).pdf
Amok	pt	https://archive.org/download/AMOK_199x_Br/AMOK_199x_Br.cbr
Andretti Racing	en	https://archive.org/download/SEGASaturnManuals_201812/Andretti Racing (USA).pdf
Andretti Racing	pt	https://segaretro.org/images/1/1e/Andretti_Racing_Sat_BR_Manual.pdf
AnEarth Fantasy Stories - The First Volume	ja	https://segaretro.org/images/a/a9/AnEarth_Fantasy_Stories_The_First_Volume_Sat_JP_Manual.pdf
Angelique Duet	ja	https://segaretro.org/images/b/b7/AngeliqueDuet_SS_jp_manual.pdf
Aqua-world - Umi Monogatari	ja	https://archive.org/download/Aqua-World_Umi_Monogatari_1996_J_color/Aqua-World_Umi_Monogatari_1996_J_color.cbr
Aquazone - Desktop Life	ja	https://archive.org/download/Aquazone_Desktop_Life_1996_J_color/Aquazone_Desktop_Life_1996_J_color.cbr
