2020 Super Baseball	en	https://archive.org/download/super-baseball-2020-usa/Super Baseball 2020 (USA).pdf
3 Ninjas Kick Back	en	https://archive.org/download/3-ninjas-kick-back-usa/3 Ninjas Kick Back ( USA ).pdf
3x3 Eyes - Seima Kourinden	ja	https://archive.org/download/3x-3-eyes-seima-kourinden-japan/3x3 Eyes - Seima Kourinden (Japan).pdf
7th Saga, The	en	https://archive.org/download/the-7th-saga-usa/The 7th Saga (USA).pdf
Aaahh!!! Real Monsters	en	https://archive.org/download/aaahh-real-monsters-usa/AAAHH!!! Real Monsters (USA).pdf
ABC Monday Night Football	en	https://archive.org/download/abc-monday-night-football-usa/ABC Monday Night Football ( USA ).pdf
Ace o Nerae!	ja	https://archive.org/download/aceoneraesfchiresscans/Ace o Nerae - Manual.pdf
ACME Animation Factory	en	https://archive.org/download/acme-animation-factory-usa/ACME Animation Factory (USA).pdf
Acrobat Mission	ja	https://archive.org/download/acrobat-mission-jpn/Acrobat Mission ( JPN ).pdf
ActRaiser	en	https://archive.org/download/act-raiser-usa/ActRaiser (USA).pdf
Actraiser 2	en	https://archive.org/download/act-raiser-2-usa/ActRaiser 2 (USA).pdf
Addams Family Values	en	https://archive.org/download/addams-family-values-usa/Addams Family Values (USA).pdf
Addams Family, The	en	https://archive.org/download/addams-family-the-usa/Addams Family, The ( USA ).pdf
Addams Family, The - Pugsley's Scavenger Hunt	en	https://archive.org/download/addams-family-the-pugsleys-scavenger-hunt-usa/Addams Family, The - Pugsley's Scavenger Hunt (USA).pdf
Advanced Dungeons & Dragons - Eye of the Beholder	en	https://archive.org/download/advanced-dungeons-and-dragons-eye-of-the-beholder-usa/Advanced Dungeons and Dragons - Eye of the Beholder (USA).pdf
Adventures of Batman & Robin, The	en	https://archive.org/download/adventures-of-batman-and-robin-the-usa/Adventures of Batman and Robin, The ( USA ).pdf
Adventures of Dr. Franken, The	en	https://archive.org/download/adventures-of-dr-franken-the-usa/Adventures of Dr Franken, The ( USA ).pdf
Adventures of Mighty Max, The	en-gb,de,es,fi,fr,it,nl,sv	https://archive.org/download/adventures-of-mighty-max-the-pal/Adventures of Mighty Max, The (PAL).pdf
Adventures of Rocky and Bullwinkle and Friends, The	en	https://archive.org/download/adventures-of-rocky-and-bullwinkle-the-usa/Adventures of Rocky and Bullwinkle,The (USA).pdf
Aero Fighters	en	https://archive.org/download/aero-fighters-usa/Aero Fighters ( USA ).pdf
Aero the Acro-Bat	en	https://archive.org/download/aero-the-acro-bat-usa/Aero the Acro-Bat (USA).pdf
Aero the Acro-Bat 2	en	https://archive.org/download/aero-the-acrobat-2-usa/Aero the Acrobat 2 ( USA ).pdf
Aerobiz	en	https://archive.org/download/aerobiz-usa/Aerobiz (USA).pdf
Aerobiz Supersonic	en	https://archive.org/download/aerobiz-supersonic-usa/Aerobiz Supersonic (USA).pdf
Aguri Suzuki F-1 Super Driving	en-gb	https://archive.org/download/aguri-suzuki-super-f-1-driving/Aguri Suzuki Super F-1 Driving ( PAL ).pdf
Air Cavalry	en	https://archive.org/download/air-cavalry-usa/Air Cavalry ( USA ).pdf
Al Unser Jr.'s Road to the Top	en	https://archive.org/download/al-unser-jr.s-road-to-the-top-usa/Al Unser Jr.'s Road to the Top (USA).pdf
Aladdin	en	https://archive.org/download/disneys-aladdin-usa/Disney's Aladdin (USA).pdf
Aladdin	es	https://archive.org/download/disneys-aladdin-esp/Disneys Aladdin ( ESP ).pdf	rotate=90
Albert Odyssey	ja	https://archive.org/download/AlbertOdysseySFCHiResScans/Albert Odyssey - Manual.pdf
Albert Odyssey 2 - Jashin no Taidou	ja	https://archive.org/download/albertodyssey2manualscanjpsfcsnes/Albert Odyssey 2 (Manual)(Scan)(JP)(SFC)(SNES).pdf
Alcahest	ja	https://archive.org/download/alchahest-jpn/Alchahest ( JPN ).pdf
Alfred Chicken	en	https://archive.org/download/super-alfred-chicken-usa/Super Alfred Chicken (USA).pdf
Alice no Paint Adventure	ja	https://archive.org/download/alice-no-paint-adventure-jpn/Alice no Paint Adventure ( JPN ).pdf
Alien 3	en	https://archive.org/download/alien-3-usa/Alien 3 (USA).pdf
Alien vs Predator	en-gb	https://archive.org/download/alien-vs-predator-pal/Alien VS Predator ( PAL ).pdf
All-American Championship Football	en	https://archive.org/download/sports-illustrated-championship-football-and-baseball-usa/Sports Illustrated Championship Football and Baseball ( USA ).pdf
American Gladiators	en	https://archive.org/download/american-gladiators-usa/American Gladiators ( USA ).pdf
American Tail, An - Fievel Goes West	en	https://archive.org/download/american-tail-an-fievel-goes-west-usa/American Tail, An - Fievel Goes West (USA).pdf
Andre Agassi Tennis	en	https://archive.org/download/andre-agassi-tennis-usa/Andre Agassi Tennis (USA).pdf
Angelique	ja	https://archive.org/download/AngeliqueSFCHiResScans/Angelique - Manual.pdf
Animaniacs	en	https://archive.org/download/animaniacs-usa/Animaniacs (USA).pdf
Another World	en	https://archive.org/download/out-of-this-world-usa/Out of This World (USA).pdf
Arabian Nights - Sabaku no Seirei Ou	ja	https://archive.org/download/arabiannightsmanualscanjpsfcsnes/Arabian Nights (Manual)(Scan)(JP)(SFC)(SNES).pdf
Araiguma Rascal	ja	https://archive.org/download/araiguma-rascal-jpn/Araiguma Rascal ( JPN ).pdf
Arcade's Greatest Hits - The Atari Collection 1	en	https://archive.org/download/arcades-greatest-hits-the-atari-collection-1-usa/Midway Arcade's Greatest Hits ( USA ).pdf
Arcana	en	https://archive.org/download/arcana-usa/Arcana (USA).pdf
Archer Maclean's Super Dropzone	en-gb	https://archive.org/download/archer-macleans-super-drop-zone-pal/Archer Maclean's Super Drop Zone ( PAL ).pdf
Ardy Lightfoot	en	https://archive.org/download/ardy-lightfoot-usa/Ardy Lightfoot (USA).pdf
Aretha	ja	https://archive.org/download/arethamanualscanjpsfcsnes/Aretha (Manual)(Scan)(JP)(SFC)(SNES).pdf
Aretha II - Ariel no Fushigi na Tabi	ja	https://archive.org/download/aretha2manualscanjpsfcsnes/Aretha 2 (Manual)(Scan)(JP)(SFC)(SNES).pdf
Arkanoid	en	https://archive.org/download/arkanoid-doh-it-again-usa/Arkanoid - Doh it Again ( USA ).pdf
Arkanoid	en-gb	https://archive.org/download/arkanoid-pal/Arkanoid ( PAL ).pdf
Art of Fighting	en	https://archive.org/download/art-of-fighting-usa/Art of Fighting (PAL).pdf
Asterix	en-gb	https://archive.org/download/asterix-pal/Asterix ( PAL ).pdf
Asterix & Obelix	fr,nl	https://archive.org/download/asterix-et-obelix-fah/Asterix Et Obelix ( FAH ).pdf
Axelay	en	https://archive.org/download/axelay-usa/Axelay (USA).pdf
B.O.B.	en	https://archive.org/download/b.-o.-b.-usa/B.O.B. (USA).pdf
Bahamut Lagoon	ja	https://archive.org/download/bahamutlagoonsfchiresscans/Bahamut Lagoon - Manual.pdf
Bakukyuu Renpatsu!! Super B-Daman	ja	https://archive.org/download/b-daman-jpn/B-Daman ( JPN ).pdf
Bakutou Dochers - Bumps-jima wa Oosawagi	ja	https://archive.org/download/bakutou-dochers-bumps-jima-wa-oosawagi-japan/Bakutou Dochers - Bumps-jima wa Oosawagi (Japan).pdf
Ballz 3D - Fighting at Its Ballziest	en	https://archive.org/download/ballz-3-d-fighting-at-its-ballziest-usa/Ballz 3D - Fighting at Its Ballziest (USA).pdf
Barbarossa	ja	https://archive.org/download/barbarossa-japan/Barbarossa (Japan).pdf
Barbie Super Model	en	https://archive.org/download/barbie-super-model-usa/Barbie Super Model (USA).pdf
Barkley Shut Up and Jam!	en	https://archive.org/download/barkley-shut-up-and-jam-usa/Barkley Shut Up and Jam! (USA).pdf
BASS Masters Classic	en	https://archive.org/download/bass-masters-classic-usa/Bass Masters Classic ( USA ).pdf
BASS Masters Classic - Pro Edition	en	https://archive.org/download/bass-masters-classic-pro-edition-usa/BASS Masters Classic - Pro Edition (USA).pdf
Bassin's Black Bass	en	https://archive.org/download/bassins-black-bass-usa/Bassin's Black Bass ( USA ).pdf
Bastard!! - Ankoku no Hakaishin	ja	https://archive.org/download/bastard-ankoku-no-hakaishin-japan/Bastard!! - Ankoku no Hakaishin (Japan).pdf
Batman Forever	en	https://archive.org/download/batman-forever-usa/Batman Forever (USA).pdf
