4 in 1 Row	en	https://archive.org/download/Four_in_1_row_1982_Philips_EU/Four_in_1_row_1982_Philips_EU.pdf
Air Battle	en-gb,da,de,es,fi,fr,it,nl,pt,sv	https://archive.org/download/air-battle-eur-philips-videopac-1983/Air Battle (EUR)(Philips Videopac+)(1983).pdf
Alien Invaders - Plus	en	https://archive.org/download/alien-invaders-plus-us-odyssey-2-1979/Alien Invaders – Plus! (US)(Odyssey 2)(1979).pdf
Alpine Skiing	en-gb,da,de,es,fi,fr,it,nl,sv	https://archive.org/download/skiing-eur-philips-videopac-1980/Skiing (EUR)(Philips Videopac)(1980).pdf
Alpine Skiing	en-gb,de	https://archive.org/download/Skiing_1980_Philips_en-de/Skiing_1980_Philips_en-de.pdf
Armored Encounter + Sub Chase	en	https://archive.org/download/armored-encounter-sub-chase-odyssey-2-us-1978/Armored Encounter! - Sub Chase! (Odyssey 2)(US) (1978).pdf
Armored Encounter + Sub Chase	en-gb,da,de,es,fi,fr,it,nl,sv	https://archive.org/download/air-sea-war-battle-eur-philips-videopac-1980/Air-Sea War  Battle (EUR)(Philips Videopac)(1980).pdf
Atlantis	en	https://archive.org/download/Atlantis_1983_Imagic_EU/Atlantis_1983_Imagic_EU.pdf
Attack of the Timelord	en	https://archive.org/download/attack-of-the-timelord-us-odyssey-2-1982/Attack of the Timelord! (US)(Odyssey 2)(1982).pdf
Baseball	en	https://archive.org/download/baseball-us-odyssey-2-1978/Baseball! (US)(Odyssey 2)(1978).pdf
Baseball	en-gb,da,de,es,fi,fr,it,nl,sv	https://archive.org/download/Backgammon_1982_Philips_EU/Backgammon_1982_Philips_EU.pdf
Baseball	en-gb,de	https://archive.org/download/Baseball_1978_Philips_en-de/Baseball_1978_Philips_en-de.pdf
Baseball	ja	https://archive.org/download/baseball-manual-JP/ベ ー ス ボ ル (Baseball) Manual.pdf
Blobbers, The	en	https://archive.org/download/Blobbers_1983_Philips_EU/Blobbers_1983_Philips_EU.pdf
Blockout + Breakdown	en	http://www.digitpress.com/library/manuals/odyssey2/blockout.txt
