Another Heaven - Memory of those Days	ja	https://archive.org/download/anotherheavenmemoryofthosedayswscolorhiresscans/Another Heaven - Memory of those Days - Manual.pdf
Blue Wing Blitz	ja	https://archive.org/download/bluewingblitzwscolorhiresscans/Blue Wing Blitz - Manual.pdf
Dicing Knight.	ja	https://www.gamingalexandria.com/highquality/wonderswancolor/Dicing Knight/Dicing Knight - Manual.pdf
Digimon Adventure 02 - D1 Tamers	ja	https://archive.org/download/digimonadventure02d1tamerswscolorhiresscans/Digimon Adventure 02 - D1 Tamers - Manual.pdf
Digimon Tamers - Brave Tamer	ja	https://archive.org/download/digimontamersbravetamerwscolorhiresscans/Digimon Tamers - Brave Tamer.pdf
Digimon Tamers - Digimon Medley	ja	https://archive.org/download/digimontamersdigimonmedleywscolorhiresscans/Digimon Tamers - Digimon Medley - Manual.pdf
Digital Monster Card Game - Ver. WonderSwan Color	ja	https://www.gamingalexandria.com/highquality/wonderswancolor/Digital Monster Card Game - Ver. WonderSwan Color/Digital Monster Card Game - Ver. WonderSwan Color - Manual.pdf
Final Fantasy	ja	https://archive.org/download/finalfantasywscolorhiresscans/Final Fantasy - Manual.pdf
Final Fantasy II	ja	https://archive.org/download/finalfantasyiiwscolorhiresscans/Final Fantasy II - Manual.pdf
Final Fantasy IV	ja	https://archive.org/download/finalfantasyivwscolorhiresscans/Final Fantasy IV - Manual.pdf
Flash Koibito-kun	ja	https://archive.org/download/flashkoibitokunwscolorhirescans/Flash Koibito-kun - Manual.pdf
From TV Animation One Piece - Treasure Wars	ja	https://archive.org/download/onepiecetreasurewarswscolorhiresscans/From TV Animation One Piece - Treasure Wars - Manual.pdf
Front Mission	ja	https://archive.org/download/frontmissionwscolorhiresscans/Front Mission - Manual.pdf
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de	ja	https://archive.org/download/gensoumadensaiyuukiretributionwscolorhiresscans/Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de - Manual.pdf
Golden Axe	ja	https://segaretro.org/images/f/fc/Golden_Axe_Wonderswan_JP_Manual.pdf
Guilty Gear Petit	ja	https://archive.org/download/guiltygearpetitwscolorhiresscans/Guilty Gear Petit - Manual.pdf
Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!!	ja	https://archive.org/download/hanjukuherowscolorhiresscans/Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! - Manual.pdf
Hunter X Hunter - Sorezore no Ketsui	ja	https://archive.org/download/hunterxhuntersorezorenoketsuiwscolorhiresscans/Hunter X Hunter - Sorezore no Ketsui - Manual.pdf
Inuyasha - Fuuun Emaki	ja	https://archive.org/download/inuyashafuuunemakiwscolorhiresscans/Inuyasha - Fuuun Emaki - Manual.pdf
Inuyasha - Kagome no Yume Nikki	ja	https://archive.org/download/inuyashakagomenoyumenikkiwscolorhiresscans/Inuyasha - Kagome no Yume Nikki - Manual.pdf
Judgement Silversword - Rebirth Edition	ja	https://www.gamingalexandria.com/highquality/wonderswancolor/Judgement Silversword - Rebirth Edition/Judgement Silversword - Rebirth Edition - Manual.pdf
Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha	ja	https://archive.org/download/kidousenshigundamgirennoyabouwscolorhiresscans/Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha - Manual.pdf
